direct,indirect,issuer_cik,issuer_name,isDirector,isOfficer,isTenPercentOwner,isOther,date,name,accession,officerTitle,predicted_gender,total_stock
,,1315098,roblox corp,1,0,0,0,20210304,lee anthony p,120919121017978,,male,201327000.0
,,1315098,roblox corp,0,1,0,0,20210308,reinstra mark,120919121018671,Gen. Counsel & Secretary,male,201327000.0
,,1315098,roblox corp,0,1,0,0,20210308,sturman daniel,120919121018669,Chief Technology Officer,male,201327000.0
,,1315098,roblox corp,0,1,0,0,20210312,guthrie michael,120919121020319,Chief Financial Officer,male,201327000.0
,,1315098,roblox corp,0,1,0,0,20210312,tolley brett,120919121020322,Principal Accounting Officer,male,201327000.0
,,1315098,roblox corp,0,1,0,0,20210312,reinstra mark,120919121020320,Gen. Counsel & Secretary,male,201327000.0
,,1315098,roblox corp,0,1,0,0,20210312,donato craig,120919121020317,Chief Business Officer,male,201327000.0
,,1315098,roblox corp,1,0,0,0,20210312,baszucki gregory,120919121020312,,male,201327000.0
,,1315098,roblox corp,1,0,0,0,20210312,carvalho christopher,120919121020315,,male,201327000.0
,,1315098,roblox corp,1,1,1,0,20210312,baszucki david,120919121020310,President & CEO,male,201327000.0
,,1315098,roblox corp,1,0,0,0,20210315,lee anthony p,120919121020612,,male,201327000.0
,,1315098,roblox corp,0,1,0,0,20210316,tolley brett,120919121021212,Principal Accounting Officer,male,201327000.0
,,1315098,roblox corp,0,1,0,0,20210316,reinstra mark,120919121021211,Gen. Counsel & Secretary,male,201327000.0
,,1315098,roblox corp,0,1,0,0,20210316,guthrie michael,120919121021210,Chief Financial Officer,male,201327000.0
,,1315098,roblox corp,0,1,0,0,20210316,donato craig,120919121021209,Chief Business Officer,male,201327000.0
,,1315098,roblox corp,1,1,1,0,20210324,baszucki david,120919121022924,President & CEO,male,201327000.0
,,1315098,roblox corp,1,0,0,0,20210406,lee anthony p,120919121025737,,male,568894000.0
,,1315098,roblox corp,0,1,0,0,20210412,bronstein manuel,120919121026386,Chief Product Officer,male,568894000.0
,,1315098,roblox corp,1,0,0,0,20210419,mastantuono gina,120919121027365,,female,568894000.0
,,1315098,roblox corp,1,0,0,0,20210520,lee anthony p,120919121034644,,male,568894000.0
,,1315098,roblox corp,1,0,0,0,20210528,baszucki gregory,120919121036552,,male,568894000.0
,,1315098,roblox corp,1,0,0,0,20210528,carvalho christopher,120919121036553,,male,568894000.0
,,1315098,roblox corp,1,0,0,0,20210528,wong andrea l,120919121036554,,female,568894000.0
,,1315098,roblox corp,1,1,1,0,20210603,baszucki david,120919121037913,President & CEO,male,568894000.0
,,1315098,roblox corp,1,0,0,0,20210603,carvalho christopher,120919121037915,,male,568894000.0
,,1315098,roblox corp,0,1,0,0,20210603,sturman daniel,120919121037918,Chief Technology Officer,male,568894000.0
,,1315098,roblox corp,0,1,0,0,20210603,tolley brett,120919121037923,Principal Accounting Officer,male,568894000.0
,,1315098,roblox corp,0,1,0,0,20210609,reinstra mark,120919121039282,Gen. Counsel & Secretary,male,568894000.0
,,1315098,roblox corp,0,1,0,0,20210611,guthrie michael,120919121040005,Chief Financial Officer,male,568894000.0
,,1315098,roblox corp,0,1,0,0,20210616,donato craig,120919121041028,Chief Business Officer,male,568894000.0
,,1315098,roblox corp,0,1,0,0,20210630,sturman daniel,120919121044028,Chief Technology Officer,male,574595000.0
,,1315098,roblox corp,0,1,0,0,20210706,tolley brett,120919121045671,Principal Accounting Officer,male,574595000.0
,,1315098,roblox corp,0,1,0,0,20210708,guthrie michael,120919121046070,Chief Financial Officer,male,574595000.0
,,1315098,roblox corp,0,1,0,0,20210715,donato craig,120919121046832,Chief Business Officer,male,574595000.0
,,1315098,roblox corp,0,1,0,0,20210823,donato craig,120919121053045,Chief Business Officer,male,574595000.0
,,1315098,roblox corp,0,1,0,0,20210823,tolley brett,120919121053048,Principal Accounting Officer,male,574595000.0
,,1315098,roblox corp,0,1,0,0,20210825,sturman daniel,120919121053404,Chief Technology Officer,male,574595000.0
,,1315098,roblox corp,0,1,0,0,20210825,tolley brett,120919121053405,Principal Accounting Officer,male,574595000.0
,,1315098,roblox corp,0,1,0,0,20210825,bronstein manuel,120919121053398,Chief Product Officer,male,574595000.0
,,1315098,roblox corp,0,1,0,0,20210825,donato craig,120919121053400,Chief Business Officer,male,574595000.0
,,1315098,roblox corp,0,1,0,0,20210825,guthrie michael,120919121053402,Chief Financial Officer,male,574595000.0
,,1315098,roblox corp,0,1,0,0,20210827,guthrie michael,120919121053704,Chief Financial Officer,male,574595000.0
,,1315098,roblox corp,1,0,0,0,20210831,lee anthony p,120919121054134,,male,574595000.0
,,1315098,roblox corp,1,1,1,0,20210901,baszucki david,120919121054329,President & CEO,male,574595000.0
,,1315098,roblox corp,0,1,0,0,20210902,tolley brett,120919121054536,Principal Accounting Officer,male,574595000.0
,,1315098,roblox corp,0,0,1,0,20210903,altos ventures management inc.,120919121054912,,male,574595000.0
,,1315098,roblox corp,0,1,0,0,20210910,guthrie michael,120919121055555,Chief Financial Officer,male,574595000.0
,,1315098,roblox corp,0,1,0,0,20210916,donato craig,120919121056494,Chief Business Officer,male,574595000.0
,,1315098,roblox corp,0,1,0,0,20211007,guthrie michael,131509821000016,Chief Financial Officer,male,578471000.0
,,1315098,roblox corp,0,1,0,0,20211018,donato craig,131509821000018,Chief Business Officer,male,578471000.0
,,1315098,roblox corp,0,1,0,0,20211025,tolley brett,131509821000020,Principal Accounting Officer,male,578471000.0
,,1315098,roblox corp,0,0,1,0,20211027,kim han,120919121061822,,male,578471000.0
,,1315098,roblox corp,0,0,1,0,20211027,nam hodong,120919121061824,,male,578471000.0
,,1315098,roblox corp,1,0,0,0,20211027,lee anthony p,120919121061826,,male,578471000.0
,,1315098,roblox corp,0,1,0,0,20211027,donato craig,131509821000022,Chief Business Officer,male,578471000.0
,,1315098,roblox corp,0,1,0,0,20211102,donato craig,131509821000024,Chief Business Officer,male,578471000.0
,,1315098,roblox corp,1,0,0,0,20211112,lee anthony p,120919121064238,,male,578471000.0
,,1315098,roblox corp,0,1,0,0,20211115,messing barbara,131509821000035,CMKtg & People Exper Officer,female,578471000.0
,,1315098,roblox corp,0,1,0,0,20211115,sturman daniel,131509821000037,Chief Technology Officer,male,578471000.0
,,1315098,roblox corp,0,1,0,0,20211115,tolley brett,131509821000039,Principal Accounting Officer,male,578471000.0
,,1315098,roblox corp,0,1,0,0,20211115,reinstra mark,131509821000041,Gen. Counsel & Secretary,male,578471000.0
,,1315098,roblox corp,0,1,0,0,20211115,donato craig,131509821000043,Chief Business Officer,male,578471000.0
,,1315098,roblox corp,0,1,0,0,20211117,messing barbara,131509821000051,CMKtg & People Exper Officer,female,578471000.0
,,1315098,roblox corp,0,1,0,0,20211117,tolley brett,131509821000045,Principal Accounting Officer,male,578471000.0
,,1315098,roblox corp,0,1,0,0,20211117,reinstra mark,131509821000047,Gen. Counsel & Secretary,male,578471000.0
,,1315098,roblox corp,0,1,0,0,20211117,sturman daniel,131509821000049,Chief Technology Officer,male,578471000.0
,,1315098,roblox corp,1,0,0,0,20211119,lee anthony p,120919121065966,,male,578471000.0
,,1315098,roblox corp,0,0,1,0,20211119,nam hodong,120919121065967,,male,578471000.0
,,1315098,roblox corp,0,0,1,0,20211122,kim han,120919121066213,,male,578471000.0
,,1315098,roblox corp,0,1,0,0,20211122,tolley brett,131509821000053,Principal Accounting Officer,male,578471000.0
,,1315098,roblox corp,0,1,0,0,20211122,messing barbara,131509821000055,CMKtg & People Exper Officer,female,578471000.0
,,1315098,roblox corp,0,0,1,0,20211123,"altos ventures iv reserve fund, l.p.",120919121066607,,male,578471000.0
,,1315098,roblox corp,1,1,1,0,20211124,baszucki david,131509821000057,President & CEO,male,578471000.0
,,1315098,roblox corp,1,1,1,0,20211124,baszucki david,131509821000059,President & CEO,male,578471000.0
,,1315098,roblox corp,1,1,1,0,20211124,baszucki david,131509821000061,President & CEO,male,578471000.0
,,1315098,roblox corp,0,1,0,0,20211124,guthrie michael,131509821000063,Chief Financial Officer,male,578471000.0
,,1315098,roblox corp,0,1,0,0,20211124,guthrie michael,131509821000065,Chief Financial Officer,male,578471000.0
,,1315098,roblox corp,0,1,0,0,20211124,donato craig,131509821000067,Chief Business Officer,male,578471000.0
,,1315098,roblox corp,0,1,0,0,20211124,bronstein manuel,131509821000069,Chief Product Officer,male,578471000.0
,,1315098,roblox corp,0,1,0,0,20211124,tolley brett,131509821000071,Principal Accounting Officer,male,578471000.0
,,1315098,roblox corp,0,1,0,0,20211126,sturman daniel,131509821000073,Chief Technology Officer,male,578471000.0
,,1315098,roblox corp,1,0,0,0,20211129,lee anthony p,120919121067056,,male,578471000.0
,,1315098,roblox corp,0,1,0,0,20211202,messing barbara,131509821000075,CMKtg & People Exper Officer,female,578471000.0
,,1315098,roblox corp,0,1,0,0,20211202,tolley brett,131509821000077,Principal Accounting Officer,male,578471000.0
,,1315098,roblox corp,0,0,1,0,20211207,altos ventures management inc.,120919121068462,,male,578471000.0
,,1315098,roblox corp,1,0,0,0,20211207,lee anthony p,120919121068460,,male,578471000.0
,,1315098,roblox corp,0,1,0,0,20211215,donato craig,131509821000081,Chief Business Officer,male,578471000.0
,,1315098,roblox corp,0,1,0,0,20211215,guthrie michael,131509821000079,Chief Financial Officer,male,578471000.0
,,1315098,roblox corp,0,1,0,0,20211221,sturman daniel,131509821000083,Chief Technology Officer,male,578471000.0
,,1315098,roblox corp,0,1,0,0,20211223,sturman daniel,131509821000085,Chief Technology Officer,male,578471000.0
,,1315098,roblox corp,0,1,0,0,20211229,messing barbara,131509821000087,CMKtg & People Exper Officer,female,578471000.0
,,1315098,roblox corp,0,1,0,0,20220106,tolley brett,131509822000002,Principal Accounting Officer,male,585878000.0
,,1315098,roblox corp,0,1,0,0,20220111,reinstra mark,131509822000004,Gen. Counsel & Secretary,male,585878000.0
,,1315098,roblox corp,0,1,0,0,20220112,guthrie michael,131509822000006,Chief Financial Officer,male,585878000.0
,,1315098,roblox corp,0,1,0,0,20220119,donato craig,131509822000008,Chief Business Officer,male,585878000.0
,,1315098,roblox corp,0,1,0,0,20220208,reinstra mark,131509822000014,Gen. Counsel & Secretary,male,585878000.0
,,1315098,roblox corp,0,1,0,0,20220223,bronstein manuel,131509822000037,Chief Product Officer,male,585878000.0
,,1315098,roblox corp,0,1,0,0,20220223,donato craig,131509822000039,Chief Business Officer,male,585878000.0
,,1315098,roblox corp,0,1,0,0,20220224,tolley brett,131509822000048,Principal Accounting Officer,male,585878000.0
,,1315098,roblox corp,0,1,0,0,20220224,guthrie michael,131509822000050,Chief Financial Officer,male,585878000.0
,,1315098,roblox corp,0,1,0,0,20220224,sturman daniel,131509822000052,Chief Technology Officer,male,585878000.0
,,1315098,roblox corp,0,0,1,0,20220301,kim han,120919122014370,,male,585878000.0
,,1315098,roblox corp,0,1,0,0,20220322,donato craig,131509822000061,Chief Business Officer,male,585878000.0
,,1315098,roblox corp,0,1,0,0,20220412,donato craig,131509822000063,Chief Business Officer,male,592196000.0
,,1315098,roblox corp,0,1,0,0,20220412,bronstein manuel,131509822000069,Chief Product Officer,male,592196000.0
,,1315098,roblox corp,0,1,0,0,20220412,guthrie michael,131509822000067,Chief Financial Officer,male,592196000.0
,,1315098,roblox corp,0,1,0,0,20220412,sturman daniel,131509822000071,Chief Technology Officer,male,592196000.0
,,1315098,roblox corp,0,1,0,0,20220412,reinstra mark,131509822000073,Gen. Counsel & Secretary,male,592196000.0
,,1315098,roblox corp,0,1,0,0,20220412,messing barbara,131509822000065,CMKtg & People Exper Officer,female,592196000.0
,,1315098,roblox corp,0,1,0,0,20220525,messing barbara,131509822000095,CMKtg & People Exper Officer,female,592196000.0
,,1315098,roblox corp,0,1,0,0,20220525,gupta deepika,131509822000096,Principal Accounting Officer,female,592196000.0
,,1315098,roblox corp,0,1,0,0,20220525,guthrie michael,131509822000097,Chief Financial Officer,male,592196000.0
,,1315098,roblox corp,0,1,0,0,20220525,bronstein manuel,131509822000098,Chief Product Officer,male,592196000.0
,,1315098,roblox corp,1,0,0,0,20220615,baszucki gregory,131509822000107,,male,592196000.0
,,1315098,roblox corp,1,0,0,0,20220615,mastantuono gina,131509822000105,,female,592196000.0
,,1315098,roblox corp,1,0,0,0,20220615,carvalho christopher,131509822000109,,male,592196000.0
,,1315098,roblox corp,1,0,0,0,20220615,wong andrea l,131509822000111,,female,592196000.0
,,1315098,roblox corp,1,0,1,0,20220621,lee anthony p,120919122038468,,male,592196000.0
,,1315098,roblox corp,0,1,0,0,20220815,rawlings amy marie,131509822000127,Chief Accounting Officer,female,596622000.0
,,1315098,roblox corp,0,0,1,0,20220816,kim han,120919122046033,,male,596622000.0
,,1315098,roblox corp,0,1,0,0,20220816,donato craig,131509822000129,Chief Business Officer,male,596622000.0
,,1315098,roblox corp,0,1,0,0,20220816,bronstein manuel,131509822000131,Chief Product Officer,male,596622000.0
,,1315098,roblox corp,1,0,1,0,20220824,lee anthony p,120919122047437,,male,596622000.0
,,1315098,roblox corp,0,1,0,0,20220824,sturman daniel,131509822000133,Chief Technology Officer,male,596622000.0
,,1315098,roblox corp,0,1,0,0,20220824,messing barbara,131509822000134,CMKtg & People Exper Officer,female,596622000.0
,,1315098,roblox corp,0,1,0,0,20220824,donato craig,131509822000135,Chief Business Officer,male,596622000.0
,,1315098,roblox corp,0,1,0,0,20220824,bronstein manuel,131509822000136,Chief Product Officer,male,596622000.0
,,1315098,roblox corp,0,1,0,0,20220824,guthrie michael,131509822000137,Chief Financial Officer,male,596622000.0
,,1315098,roblox corp,0,1,0,0,20220824,reinstra mark,131509822000138,Gen. Counsel & Secretary,male,596622000.0
,,1315098,roblox corp,1,1,1,0,20220824,baszucki david,131509822000139,President & CEO,male,596622000.0
,,1315098,roblox corp,0,1,0,0,20220913,messing barbara,131509822000143,CMKtg & People Exper Officer,female,596622000.0
,,1315098,roblox corp,0,1,0,0,20220913,bronstein manuel,131509822000141,Chief Product Officer,male,596622000.0
,,1315098,roblox corp,0,1,0,0,20220919,donato craig,131509822000145,Chief Business Officer,male,596622000.0
,,1315098,roblox corp,0,1,0,0,20221019,donato craig,131509822000150,Chief Business Officer,male,600641000.0
,,1315098,roblox corp,0,1,0,0,20221117,reinstra mark,131509822000162,Gen. Counsel & Secretary,male,600641000.0
,,1315098,roblox corp,0,1,0,0,20221117,donato craig,131509822000160,Chief Business Officer,male,600641000.0
,,1315098,roblox corp,0,1,0,0,20221123,donato craig,131509822000176,Chief Business Officer,male,600641000.0
,,1315098,roblox corp,0,1,0,0,20221123,messing barbara,131509822000175,CMKtg & People Exper Officer,female,600641000.0
,,1315098,roblox corp,0,1,0,0,20221123,bronstein manuel,131509822000174,Chief Product Officer,male,600641000.0
,,1315098,roblox corp,0,1,0,0,20221123,reinstra mark,131509822000173,Gen. Counsel & Secretary,male,600641000.0
,,1315098,roblox corp,0,1,0,0,20221123,guthrie michael,131509822000172,Chief Financial Officer,male,600641000.0
,,1315098,roblox corp,0,1,0,0,20221123,rawlings amy marie,131509822000170,Chief Accounting Officer,female,600641000.0
,,1315098,roblox corp,0,1,0,0,20221123,sturman daniel,131509822000171,Chief Technology Officer,male,600641000.0
,,1315098,roblox corp,0,1,0,0,20221128,donato craig,131509822000180,Chief Business Officer,male,600641000.0
,,1315098,roblox corp,1,1,1,0,20221128,baszucki david,131509822000178,President & CEO,male,600641000.0
,,1315098,roblox corp,0,1,0,0,20221216,messing barbara,131509822000183,CMKtg & People Exper Officer,female,600641000.0
,,1315098,roblox corp,0,1,0,0,20221216,donato craig,131509822000184,Chief Business Officer,male,600641000.0
,,1315098,roblox corp,0,0,1,0,20221230,nam hodong,120919122063034,,male,600641000.0
,,1315098,roblox corp,0,1,0,0,20230118,donato craig,131509823000008,Chief Business Officer,male,604674000.0
