direct,indirect,issuer_cik,issuer_name,isDirector,isOfficer,isTenPercentOwner,isOther,date,name,accession,officerTitle,predicted_gender,total_stock
,,1774675,skillsoft corp.,0,1,0,0,20210614,walker richard,95014221002022,See Remarks.,male,4000000.0
,,1774675,skillsoft corp.,1,1,0,0,20210614,tarr jeffrey r,95014221002021,Chief Executive Officer,male,4000000.0
,,1774675,skillsoft corp.,0,1,0,0,20210614,stine eric p,95014221002020,Chief Revenue Officer,male,4000000.0
,,1774675,skillsoft corp.,0,1,0,0,20210614,boockoff-bajdek michelle r,95014221002014,Chief Marketing Officer,female,4000000.0
,,1774675,skillsoft corp.,0,1,0,0,20210614,hilty sarah kinnick,95014221002015,Chief Legal Officer,female,4000000.0
,,1774675,skillsoft corp.,0,1,0,0,20210614,murray ryan h,95014221002017,"Interim CFO, CAO",male,4000000.0
,,1774675,skillsoft corp.,0,1,0,0,20210614,onisk mark d,95014221002018,Chief Content Officer,male,4000000.0
,,1774675,skillsoft corp.,0,1,0,0,20210614,purakayastha apratim,95014221002019,Chief Technology Officer,male,4000000.0
,,1774675,skillsoft corp.,0,1,0,0,20210914,walker richard,110465921115638,See Remarks.,male,133059021.0
,,1774675,skillsoft corp.,1,1,0,0,20210914,tarr jeffrey r,110465921115640,Chief Executive Officer,male,133059021.0
,,1774675,skillsoft corp.,0,1,0,0,20210914,murray ryan h,110465921115637,"Interim CFO, CAO",male,133059021.0
,,1774675,skillsoft corp.,0,1,0,0,20210921,murray ryan h,110465921118002,"Interim CFO, CAO",male,133059021.0
,,1774675,skillsoft corp.,0,1,0,0,20210922,ferrera gary w,110465921118474,Chief Financial Officer,male,133059021.0
,,1774675,skillsoft corp.,0,1,0,0,20210929,hummel kristi,110465921120861,Chief People Officer,female,133059021.0
,,1774675,skillsoft corp.,1,1,0,0,20211213,tarr jeffrey r,110465921149247,Chief Executive Officer,male,133164526.0
,,1774675,skillsoft corp.,1,0,0,0,20211230,schmitt peter,110465921154850,,male,133164526.0
,,1774675,skillsoft corp.,1,0,0,0,20211230,mills karen g,110465921154849,,female,133164526.0
,,1774675,skillsoft corp.,1,0,0,0,20211230,kolek patrick,110465921154848,,male,133164526.0
,,1774675,skillsoft corp.,1,0,0,0,20211230,klein michael stuart,110465921154847,,male,133164526.0
,,1774675,skillsoft corp.,1,0,0,0,20211230,illg lawrence charles,110465921154846,,male,133164526.0
,,1774675,skillsoft corp.,1,0,0,0,20211230,hovsepian ronald w,110465921154845,,male,133164526.0
,,1774675,skillsoft corp.,1,0,0,0,20211230,foulkes helena,110465921154844,,female,133164526.0
,,1774675,skillsoft corp.,1,0,0,0,20211230,summers lawrence henry,110465921154851,,male,133164526.0
,,1774675,skillsoft corp.,1,1,0,0,20220202,tarr jeffrey r,110465922010869,Chief Executive Officer,male,133258027.0
,,1774675,skillsoft corp.,1,1,0,0,20220314,tarr jeffrey r,110465922033462,Chief Executive Officer,male,133258027.0
,,1774675,skillsoft corp.,0,1,0,0,20220406,sims zachary,110465922043325,"GM Tech & Dev, CEO Codecademy",male,133258027.0
,,1774675,skillsoft corp.,0,1,0,0,20220503,sims zachary,110465922055459,"GM Tech & Dev, CEO Codecademy",male,162911755.0
,,1774675,skillsoft corp.,0,1,0,0,20220603,purakayastha apratim,106299322014321,Chief Technology Officer,male,163946319.0
,,1774675,skillsoft corp.,0,1,0,0,20220603,hilty sarah kinnick,106299322014320,Chief Legal Officer,female,163946319.0
,,1774675,skillsoft corp.,0,1,0,0,20220603,walker richard,106299322014319,See Remarks,male,163946319.0
,,1774675,skillsoft corp.,0,1,0,0,20220603,onisk mark d,106299322014318,Chief Content Officer,male,163946319.0
,,1774675,skillsoft corp.,0,1,0,0,20220603,boockoff-bajdek michelle r,106299322014317,Chief Marketing Officer,female,163946319.0
,,1774675,skillsoft corp.,0,1,0,0,20220603,hummel kristi,106299322014316,Chief People Officer,female,163946319.0
,,1774675,skillsoft corp.,1,1,0,0,20220603,tarr jeffrey r,106299322014315,Chief Executive Officer,male,163946319.0
,,1774675,skillsoft corp.,0,1,0,0,20220603,sims zachary,106299322014324,"GM Tech & Dev, CEO Codecademy",male,163946319.0
,,1774675,skillsoft corp.,0,1,0,0,20220603,ferrera gary w,106299322014323,Chief Financial Officer,male,163946319.0
,,1774675,skillsoft corp.,0,1,0,0,20220603,stine eric p,106299322014322,Chief Revenue Officer,male,163946319.0
,,1774675,skillsoft corp.,0,1,0,0,20220614,walker richard,106299322014862,See Remarks,male,163946319.0
,,1774675,skillsoft corp.,0,1,0,0,20220614,purakayastha apratim,106299322014864,Chief Technology Officer,male,163946319.0
,,1774675,skillsoft corp.,1,1,0,0,20220614,tarr jeffrey r,106299322014866,Chief Executive Officer,male,163946319.0
,,1774675,skillsoft corp.,0,1,0,0,20220614,boockoff-bajdek michelle r,106299322014867,Chief Marketing Officer,female,163946319.0
,,1774675,skillsoft corp.,0,1,0,0,20220614,onisk mark d,106299322014868,Chief Content Officer,male,163946319.0
,,1774675,skillsoft corp.,0,1,0,0,20220614,murray ryan h,106299322014869,Chief Accounting Officer,male,163946319.0
,,1774675,skillsoft corp.,0,1,0,0,20220614,hilty sarah kinnick,106299322014863,Chief Legal Officer,female,163946319.0
,,1774675,skillsoft corp.,0,1,0,0,20220614,stine eric p,106299322014865,Chief Revenue Officer,male,163946319.0
,,1774675,skillsoft corp.,1,1,0,0,20220616,tarr jeffrey r,106299322015030,Chief Executive Officer,male,163946319.0
,,1774675,skillsoft corp.,1,0,0,0,20220624,kolek patrick,106299322015425,,male,163946319.0
