direct,indirect,issuer_cik,issuer_name,isDirector,isOfficer,isTenPercentOwner,isOther,date,name,accession,officerTitle,predicted_gender,total_stock
,,24491,cooper tire & rubber co,1.0,,,,20100105,welding robert d,122520810000406,,male,
,,24491,cooper tire & rubber co,1.0,,,,20100105,breininger laurie b,122520810000382,,female,
,,24491,cooper tire & rubber co,1.0,,,,20100105,capo thomas p,122520810000385,,male,
,,24491,cooper tire & rubber co,1.0,,,,20100105,holland john j,122520810000391,,male,
,,24491,cooper tire & rubber co,1.0,,,,20100105,chapman steven m,122520810000393,,male,
,,24491,cooper tire & rubber co,1.0,,,,20100105,meier john f,122520810000399,,male,
,,24491,cooper tire & rubber co,1.0,,,,20100105,wambold richard l,122520810000402,,male,
,,24491,cooper tire & rubber co,1.0,,,,20100105,shuey john h,122520810000403,,male,
236417.0,397.3159,24491,cooper tire & rubber co,1.0,1.0,,,20100105,armes roy v,122520810000682,"COB, President & CEO",male,
234417.0,397.3159,24491,cooper tire & rubber co,1.0,1.0,,,20100204,armes roy v,122520810003482,"COB, President & CEO",male,
31245.0,1039.9027999999998,24491,cooper tire & rubber co,,1.0,,,20100226,kline james e,122520810005949,"VP, General Counsel & Secy",male,
330809.0,397.3159,24491,cooper tire & rubber co,1.0,1.0,,,20100226,armes roy v,122520810005990,"COB, President & CEO",male,
37178.0,19033.7914,24491,cooper tire & rubber co,,1.0,,,20100226,miller harold c jr,122520810006062,Vice President,male,
328809.0,397.3159,24491,cooper tire & rubber co,1.0,1.0,,,20100304,armes roy v,122520810007069,"COB, President & CEO",male,
550.0,1039.9027999999998,24491,cooper tire & rubber co,,1.0,,,20100305,kline james e,122520810007282,"VP, General Counsel & Secy",male,
,,24491,cooper tire & rubber co,1.0,1.0,,,20100311,armes roy v,122520810007871,"COB, President & CEO",male,
,,24491,cooper tire & rubber co,,1.0,,,20100311,harmon brenda s,122520810007869,Senior Vice President,female,
,,24491,cooper tire & rubber co,,1.0,,,20100311,hughes bradley e.,122520810007868,Vice President and CFO,male,
,,24491,cooper tire & rubber co,,1.0,,,20100311,kline james e,122520810007867,"VP, General Counsel & Secy",male,
3563.0,19033.7914,24491,cooper tire & rubber co,,1.0,,,20100311,miller harold c jr,122520810007866,Vice President,male,
0.0,523.944,24491,cooper tire & rubber co,,1.0,,,20100315,miller harold c jr,122520810008160,Vice President,male,
0.0,,24491,cooper tire & rubber co,1.0,,,,20100315,shuey john h,122520810008161,,male,
,,24491,cooper tire & rubber co,1.0,,,,20100401,welding robert d,122520810009317,,male,
,,24491,cooper tire & rubber co,1.0,,,,20100401,breininger laurie b,122520810009307,,female,
,,24491,cooper tire & rubber co,1.0,,,,20100401,capo thomas p,122520810009308,,male,
,,24491,cooper tire & rubber co,1.0,,,,20100401,chapman steven m,122520810009310,,male,
,,24491,cooper tire & rubber co,1.0,,,,20100401,holland john j,122520810009311,,male,
,,24491,cooper tire & rubber co,1.0,,,,20100401,meier john f,122520810009312,,male,
,,24491,cooper tire & rubber co,1.0,,,,20100401,shuey john h,122520810009313,,male,
,,24491,cooper tire & rubber co,1.0,,,,20100401,wambold richard l,122520810009314,,male,
327240.0,397.3159,24491,cooper tire & rubber co,1.0,1.0,,,20100406,armes roy v,122520810009961,"COB, President & CEO",male,
,,24491,cooper tire & rubber co,1.0,,,,20100505,wambold richard l,122520810012150,,male,
,,24491,cooper tire & rubber co,1.0,,,,20100505,breininger laurie b,122520810012129,,female,
,,24491,cooper tire & rubber co,1.0,,,,20100505,shuey john h,122520810012149,,male,
,,24491,cooper tire & rubber co,1.0,,,,20100505,welding robert d,122520810012151,,male,
,,24491,cooper tire & rubber co,1.0,,,,20100505,meier john f,122520810012148,,male,
325240.0,397.3159,24491,cooper tire & rubber co,1.0,1.0,,,20100505,armes roy v,122520810012109,"COB, President & CEO",male,
,,24491,cooper tire & rubber co,1.0,,,,20100505,chapman steven m,122520810012131,,male,
,,24491,cooper tire & rubber co,1.0,,,,20100505,capo thomas p,122520810012130,,male,
,,24491,cooper tire & rubber co,1.0,,,,20100505,holland john j,122520810012132,,male,
550.0,1044.1873,24491,cooper tire & rubber co,,1.0,,,20100512,kline james e,122520810012679,"VP, General Counsel & Secy",male,
3580.0,626.9073,24491,cooper tire & rubber co,,1.0,,,20100514,miller harold c jr,122520810012908,Vice President,male,
323240.0,397.3159,24491,cooper tire & rubber co,1.0,1.0,,,20100604,armes roy v,122520810014737,"COB, President & CEO",male,
,,24491,cooper tire & rubber co,1.0,,,,20100701,welding robert d,122520810016046,,male,
,,24491,cooper tire & rubber co,1.0,,,,20100701,shuey john h,122520810016043,,male,
,,24491,cooper tire & rubber co,1.0,,,,20100701,meier john f,122520810016041,,male,
,,24491,cooper tire & rubber co,1.0,,,,20100701,holland john j,122520810016023,,male,
,,24491,cooper tire & rubber co,1.0,,,,20100701,wambold richard l,122520810016045,,male,
,,24491,cooper tire & rubber co,1.0,,,,20100701,capo thomas p,122520810016020,,male,
,,24491,cooper tire & rubber co,1.0,,,,20100701,breininger laurie b,122520810016018,,female,
,,24491,cooper tire & rubber co,1.0,,,,20100701,chapman steven m,122520810016022,,male,
321665.0,397.3159,24491,cooper tire & rubber co,1.0,1.0,,,20100706,armes roy v,122520810016625,"COB, President & CEO",male,
,,24491,cooper tire & rubber co,1.0,,,,20101001,welding robert d,122520810021626,,male,
,,24491,cooper tire & rubber co,1.0,,,,20101001,wambold richard l,122520810021625,,male,
,,24491,cooper tire & rubber co,1.0,,,,20101001,shuey john h,122520810021624,,male,
,,24491,cooper tire & rubber co,1.0,,,,20101001,meier john f,122520810021623,,male,
,,24491,cooper tire & rubber co,1.0,,,,20101001,holland john j,122520810021622,,male,
,,24491,cooper tire & rubber co,1.0,,,,20101001,capo thomas p,122520810021620,,male,
,,24491,cooper tire & rubber co,1.0,,,,20101001,breininger laurie b,122520810021619,,female,
,,24491,cooper tire & rubber co,1.0,,,,20101001,chapman steven m,122520810021621,,male,
3050.0,9133.8668,24491,cooper tire & rubber co,,1.0,,,20101109,huber robert w,122520810024482,Principal Accounting Officer,male,
847.628,50.4817,24491,cooper tire & rubber co,,1.0,,,20101222,miller harold c jr,122520810027643,Vice President,male,
70263.0,,24491,cooper tire & rubber co,,1.0,,,20101223,hughes bradley e.,122520810027701,Vice President and CFO,male,
23422.0,,24491,cooper tire & rubber co,,1.0,,,20101223,harmon brenda s,122520810027702,Senior Vice President,female,
,,24491,cooper tire & rubber co,1.0,,,,20110104,breininger laurie b,122520811000477,,female,
,,24491,cooper tire & rubber co,1.0,,,,20110104,meier john f,122520811000481,,male,
,,24491,cooper tire & rubber co,1.0,,,,20110104,capo thomas p,122520811000478,,male,
,,24491,cooper tire & rubber co,1.0,,,,20110104,holland john j,122520811000480,,male,
,,24491,cooper tire & rubber co,1.0,,,,20110104,chapman steven m,122520811000479,,male,
,,24491,cooper tire & rubber co,1.0,,,,20110104,wambold richard l,122520811000484,,male,
,,24491,cooper tire & rubber co,1.0,,,,20110104,welding robert d,122520811000485,,male,
,,24491,cooper tire & rubber co,1.0,,,,20110104,shuey john h,122520811000483,,male,
70000.0,,24491,cooper tire & rubber co,,1.0,,,20110118,ostrander christopher e.,122520811003156,Vice President,male,
,,24491,cooper tire & rubber co,,1.0,,,20110225,huber robert w,122520811007344,Principal Accounting Officer,male,
26139.0,900.9083,24491,cooper tire & rubber co,,1.0,,,20110225,miller harold c jr,122520811007328,Vice President,male,
430990.0,397.3159,24491,cooper tire & rubber co,1.0,1.0,,,20110225,armes roy v,122520811007329,"COB, President & CEO",male,
29947.0,,24491,cooper tire & rubber co,,1.0,,,20110225,harmon brenda s,122520811007330,Senior Vice President,female,
88561.0,,24491,cooper tire & rubber co,,1.0,,,20110225,hughes bradley e.,122520811007331,Vice President and CFO,male,
23156.0,1056.259,24491,cooper tire & rubber co,,1.0,,,20110225,kline james e,122520811007332,"VP, General Counsel & Secy",male,
,,24491,cooper tire & rubber co,,1.0,,,20110225,ostrander christopher e.,122520811007333,Vice President,male,
550.0,1056.2592,24491,cooper tire & rubber co,,1.0,,,20110304,kline james e,122520811008816,"VP, General Counsel & Secy",male,
3615.0,900.9083,24491,cooper tire & rubber co,,1.0,,,20110309,miller harold c jr,122520811009277,Vice President,male,
322457.0,397.3159,24491,cooper tire & rubber co,1.0,1.0,,,20110310,armes roy v,122520811009399,"COB, President & CEO",male,
550.0,1056.2592,24491,cooper tire & rubber co,,1.0,,,20110310,kline james e,122520811009394,"VP, General Counsel & Secy",male,
936.0,,24491,cooper tire & rubber co,1.0,,,,20110314,meier john f,122520811009554,,male,
,,24491,cooper tire & rubber co,,1.0,,,20110315,huber robert w,122520811009673,Principal Accounting Officer,male,
,,24491,cooper tire & rubber co,1.0,,,,20110404,welding robert d,122520811010883,,male,62097159.0
,,24491,cooper tire & rubber co,1.0,,,,20110404,wambold richard l,122520811010882,,male,62097159.0
,,24491,cooper tire & rubber co,1.0,,,,20110404,shuey john h,122520811010877,,male,62097159.0
,,24491,cooper tire & rubber co,1.0,,,,20110404,holland john j,122520811010876,,male,62097159.0
,,24491,cooper tire & rubber co,1.0,,,,20110404,breininger laurie b,122520811010869,,female,62097159.0
,,24491,cooper tire & rubber co,1.0,,,,20110404,capo thomas p,122520811010871,,male,62097159.0
,,24491,cooper tire & rubber co,1.0,,,,20110404,meier john f,122520811010868,,male,62097159.0
,,24491,cooper tire & rubber co,1.0,,,,20110404,chapman steven m,122520811010873,,male,62097159.0
25000.0,,24491,cooper tire & rubber co,,1.0,,,20110405,zamansky stephen,122520811011104,"VP, General Counsel & Secy",male,62097159.0
6881.14,,24491,cooper tire & rubber co,,1.0,,,20110503,huber robert w,122520811012849,Principal Accounting Officer,male,62097159.0
,,24491,cooper tire & rubber co,1.0,,,,20110509,shuey john h,122520811013540,,male,62097159.0
,,24491,cooper tire & rubber co,1.0,,,,20110509,wambold richard l,122520811013541,,male,62097159.0
,,24491,cooper tire & rubber co,1.0,,,,20110509,meier john f,122520811013539,,male,62097159.0
,,24491,cooper tire & rubber co,1.0,,,,20110509,welding robert d,122520811013542,,male,62097159.0
