direct,indirect,issuer_cik,issuer_name,isDirector,isOfficer,isTenPercentOwner,isOther,date,name,accession,officerTitle,predicted_gender,total_stock
752618.0,,887730,kemet corp,1,1,0,0,20100129,loof per olof,117911010001649,Chief Executive Officer,male,
,,887730,kemet corp,1,1,0,0,20100201,loof per olof,117911010001671,Chief Executive Officer,male,
200000.0,,887730,kemet corp,0,1,0,0,20100526,lowe william m jr,117911010009301,Exec VP and CFO,male,
112287.0,,887730,kemet corp,1,0,0,0,20100601,swann joseph d,117911010009697,,male,
16287.0,,887730,kemet corp,1,0,0,0,20100601,maddrey e erwin ii,117911010009695,,male,
18600.0,,887730,kemet corp,1,0,0,0,20100601,borruso joseph vincent,117911010009694,,male,
16000.0,,887730,kemet corp,1,0,0,0,20100601,paul robert g,117911010009696,,male,
37575.0,,887730,kemet corp,1,0,0,0,20100601,brandenberg frank g,117911010009692,,male,
5000.0,,887730,kemet corp,1,0,0,0,20100601,backes wilfried,117911010009691,,male,
10000.0,,887730,kemet corp,1,0,0,0,20100601,bedi gurminder s,117911010009693,,male,
10111.0,,887730,kemet corp,0,1,0,0,20100603,lessner philip michael,117911010009801,VP-Chief Technical Officer,male,
17233.0,,887730,kemet corp,0,1,0,0,20100608,persico daniel f.,117911010010033,"Vice President, Strategic",male,
26133.0,,887730,kemet corp,0,1,0,0,20100608,persico daniel f.,117911010010078,"Vice President, Strategic",male,
17394.0,,887730,kemet corp,0,1,0,0,20100610,kotelon marc,117911010010231,Senior VP-Global Sales,male,
132287.0,,887730,kemet corp,1,0,0,0,20100924,swann joseph d,117911010014239,,male,81135009.0
36287.0,,887730,kemet corp,1,0,0,0,20100924,maddrey e erwin ii,117911010014237,,male,81135009.0
36000.0,,887730,kemet corp,1,0,0,0,20100924,paul robert g,117911010014238,,male,81135009.0
38600.0,,887730,kemet corp,1,0,0,0,20100924,borruso joseph vincent,117911010014236,,male,81135009.0
57575.0,,887730,kemet corp,1,0,0,0,20100924,brandenberg frank g,117911010014234,,male,81135009.0
25000.0,,887730,kemet corp,1,0,0,0,20100924,backes wilfried,117911010014233,,male,81135009.0
30000.0,,887730,kemet corp,1,0,0,0,20100924,bedi gurminder s,117911010014235,,male,81135009.0
10311.0,,887730,kemet corp,0,1,0,0,20110609,lessner philip michael,117911011009443,VP-Chief Technical Officer,male,37125387.0
3870.0,,887730,kemet corp,0,1,0,0,20110729,lessner philip michael,117911011011465,VP-Chief Technical Officer,male,44148787.0
290872.0,,887730,kemet corp,1,1,0,0,20110816,loof per olof,117911011012280,Chief Executive Officer,male,44148787.0
4141.0,,887730,kemet corp,0,1,0,0,20110818,barkal susan berish,117911011012379,"VP Quality, CCO",female,44148787.0
16194.0,,887730,kemet corp,0,1,0,0,20110818,persico daniel f.,117911011012378,"Vice President, Strategic",male,44148787.0
13457.0,,887730,kemet corp,0,1,0,0,20110818,lessner philip michael,117911011012377,VP-Chief Technical Officer,male,44148787.0
16736.0,,887730,kemet corp,0,1,0,0,20110818,mcadams larry c,117911011012375,"Vice President, Human Resource",male,44148787.0
26495.0,,887730,kemet corp,0,1,0,0,20110818,lamorte daniel,117911011012376,Chief Information Officer,male,44148787.0
18880.0,,887730,kemet corp,0,1,0,0,20110818,meeks charles c. jr,117911011012373,"Senior Vice President, Ceramic",male,44148787.0
18206.0,,887730,kemet corp,0,1,0,0,20110818,hinojosa conrado,117911011012372,"Senior Vice President, Tantalu",male,44148787.0
25984.0,,887730,kemet corp,0,1,0,0,20110818,kotelon marc,117911011012371,Senior VP-Global Sales,male,44148787.0
98245.0,,887730,kemet corp,0,1,0,0,20110818,lowe william m jr,117911011012370,Exec VP and CFO,male,44148787.0
367846.0,,887730,kemet corp,1,1,0,0,20110818,loof per olof,117911011012369,Chief Executive Officer,male,44148787.0
21951.0,,887730,kemet corp,0,1,0,0,20110818,arguelles robert roger,117911011012374,"Sr VP, Operational Excellence",male,44148787.0
18880.0,,887730,kemet corp,0,1,0,0,20110831,meeks charles c. jr,117911011012776,"Senior Vice President, Ceramic",male,44148787.0
18206.0,,887730,kemet corp,0,1,0,0,20110831,hinojosa conrado,117911011012777,"Senior Vice President, Tantalu",male,44148787.0
18206.0,,887730,kemet corp,0,1,0,0,20110831,hinojosa conrado,117911011012779,"Senior Vice President, Tantalu",male,44148787.0
13957.0,,887730,kemet corp,0,1,0,0,20111101,lessner philip michael,117911011014619,VP-Chief Technical Officer,male,44630742.0
50762.0,,887730,kemet corp,1,0,0,0,20111102,swann joseph d,117911011014691,,male,44630742.0
18667.0,,887730,kemet corp,1,0,0,0,20111102,paul robert g,117911011014690,,male,44630742.0
19533.0,,887730,kemet corp,1,0,0,0,20111102,borruso joseph vincent,117911011014687,,male,44630742.0
25858.0,,887730,kemet corp,1,0,0,0,20111102,brandenberg frank g,117911011014688,,male,44630742.0
15000.0,,887730,kemet corp,1,0,0,0,20111102,backes wilfried,117911011014685,,male,44630742.0
16667.0,,887730,kemet corp,1,0,0,0,20111102,bedi gurminder s,117911011014686,,male,44630742.0
18762.0,,887730,kemet corp,1,0,0,0,20111102,maddrey e erwin ii,117911011014689,,male,44630742.0
24957.0,,887730,kemet corp,0,1,0,0,20111103,mcadams larry c,117911011014767,"Vice President, Human Resource",male,44630742.0
2896.0,,887730,kemet corp,1,0,0,0,20111114,kotzubei jacob,117911011015109,,male,44630742.0
66815.0,,887730,kemet corp,0,1,0,0,20120201,lowe william m jr,117911012001472,Exec VP and CFO,male,44658542.0
36194.0,,887730,kemet corp,0,1,0,0,20120201,persico daniel f.,117911012001469,"Vice President, Strategic",male,44658542.0
19141.0,,887730,kemet corp,0,1,0,0,20120201,barkal susan berish,117911012001468,"VP Quality, CCO",female,44658542.0
33957.0,,887730,kemet corp,0,1,0,0,20120201,lessner philip michael,117911012001467,VP-Chief Technical Officer,male,44658542.0
41951.0,,887730,kemet corp,0,1,0,0,20120201,arguelles robert roger,117911012001465,"Sr VP, Operational Excellence",male,44658542.0
43880.0,,887730,kemet corp,0,1,0,0,20120201,meeks charles c. jr,117911012001464,"Senior Vice President, Ceramic",male,44658542.0
43206.0,,887730,kemet corp,0,1,0,0,20120201,hinojosa conrado,117911012001463,"Senior Vice President, Tantalu",male,44658542.0
397846.0,,887730,kemet corp,1,1,0,0,20120201,loof per olof,117911012001461,Chief Executive Officer,male,44658542.0
45984.0,,887730,kemet corp,0,1,0,0,20120201,kotelon marc,117911012001466,Senior VP-Global Sales,male,44658542.0
417846.0,,887730,kemet corp,1,1,0,0,20120329,loof per olof,117911012005928,Chief Executive Officer,male,44658542.0
29649.0,,887730,kemet corp,0,1,0,0,20120503,mcadams larry c,117911012007676,"Vice President, Human Resource",male,44658542.0
40478.0,,887730,kemet corp,0,1,0,0,20120503,persico daniel f.,117911012007678,"Vice President, Strategic",male,44658542.0
51906.0,,887730,kemet corp,0,1,0,0,20120503,meeks charles c. jr,117911012007677,"Senior Vice President, Ceramic",male,44658542.0
84449.0,,887730,kemet corp,0,1,0,0,20120503,lowe william m jr,117911012007675,Exec VP and CFO,male,44658542.0
52068.0,,887730,kemet corp,0,1,0,0,20120503,hinojosa conrado,117911012007681,"Senior Vice President, Tantalu",male,44658542.0
49653.0,,887730,kemet corp,0,1,0,0,20120503,arguelles robert roger,117911012007673,"Sr VP, Operational Excellence",male,44658542.0
21381.0,,887730,kemet corp,0,1,0,0,20120503,barkal susan berish,117911012007668,"VP Quality, CCO",female,44658542.0
38266.0,,887730,kemet corp,0,1,0,0,20120503,lessner philip michael,117911012007674,VP-Chief Technical Officer,male,44658542.0
54961.0,,887730,kemet corp,0,1,0,0,20120503,kotelon marc,117911012007670,Senior VP-Global Sales,male,44658542.0
32961.0,,887730,kemet corp,0,1,0,0,20120503,lamorte daniel,117911012007671,Chief Information Officer,male,44658542.0
449978.0,,887730,kemet corp,1,1,0,0,20120503,loof per olof,117911012007672,Chief Executive Officer,male,44658542.0
469978.0,,887730,kemet corp,1,1,0,0,20120515,loof per olof,117911012008437,Chief Executive Officer,male,44886754.0
20533.0,,887730,kemet corp,1,0,0,0,20120515,borruso joseph vincent,117911012008465,,male,44886754.0
20000.0,,887730,kemet corp,1,0,0,0,20120515,backes wilfried,117911012008466,,male,44886754.0
26667.0,,887730,kemet corp,1,0,0,0,20120516,bedi gurminder s,117911012008479,,male,44886754.0
74961.0,,887730,kemet corp,0,1,0,0,20120516,kotelon marc,117911012008489,Senior VP-Global Sales,male,44886754.0
,,887730,kemet corp,0,1,0,0,20120517,persico daniel f.,117911012008586,"Vice President, Strategic",male,44886754.0
59653.0,,887730,kemet corp,0,1,0,0,20120517,arguelles robert roger,117911012008587,"Sr VP, Operational Excellence",male,44886754.0
475429.0,,887730,kemet corp,1,1,0,0,20120517,loof per olof,117911012008588,Chief Executive Officer,male,44886754.0
27858.0,,887730,kemet corp,1,0,0,0,20120518,brandenberg frank g,117911012008627,,male,44886754.0
54068.0,,887730,kemet corp,0,1,0,0,20120524,hinojosa conrado,117911012008969,"Senior Vice President, Tantalu",male,44886754.0
59068.0,,887730,kemet corp,0,1,0,0,20120529,hinojosa conrado,117911012009206,"Senior Vice President, Tantalu",male,44886754.0
78360.0,,887730,kemet corp,0,1,0,0,20120727,persico daniel f.,117911012011878,"Vice President, Strategic",male,44886754.0
29188.0,,887730,kemet corp,0,1,0,0,20120727,barkal susan berish,117911012011877,"VP Quality, CCO",female,44886754.0
54158.0,,887730,kemet corp,0,1,0,0,20120727,lessner philip michael,117911012011876,VP-Chief Technical Officer,male,44886754.0
121252.0,,887730,kemet corp,0,1,0,0,20120727,lowe william m jr,117911012011871,Exec VP and CFO,male,44886754.0
82701.0,,887730,kemet corp,0,1,0,0,20120727,arguelles robert roger,117911012011874,"Sr VP, Operational Excellence",male,44886754.0
76070.0,,887730,kemet corp,0,1,0,0,20120727,meeks charles c. jr,117911012011873,"Senior Vice President, Ceramic",male,44886754.0
83232.0,,887730,kemet corp,0,1,0,0,20120727,hinojosa conrado,117911012011872,"Senior Vice President, Tantalu",male,44886754.0
536113.0,,887730,kemet corp,1,1,0,0,20120727,loof per olof,117911012011870,Chief Executive Officer,male,44886754.0
107019.0,,887730,kemet corp,0,1,0,0,20120727,kotelon marc,117911012011875,Senior VP-Global Sales,male,44886754.0
25334.0,,887730,kemet corp,1,0,0,0,20120801,paul robert g,117911012012151,,male,44907420.0
57429.0,,887730,kemet corp,1,0,0,0,20120801,swann joseph d,117911012012152,,male,44907420.0
25429.0,,887730,kemet corp,1,0,0,0,20120801,maddrey e erwin ii,117911012012150,,male,44907420.0
9563.0,,887730,kemet corp,1,0,0,0,20120801,kotzubei jacob,117911012012149,,male,44907420.0
34525.0,,887730,kemet corp,1,0,0,0,20120801,brandenberg frank g,117911012012148,,male,44907420.0
26667.0,,887730,kemet corp,1,0,0,0,20120801,backes wilfried,117911012012145,,male,44907420.0
27200.0,,887730,kemet corp,1,0,0,0,20120801,borruso joseph vincent,117911012012147,,male,44907420.0
33334.0,,887730,kemet corp,1,0,0,0,20120801,bedi gurminder s,117911012012146,,male,44907420.0
102701.0,,887730,kemet corp,0,1,0,0,20121030,arguelles robert roger,117911012015464,"Sr VP, Operational Excellence",male,44907420.0
28200.0,,887730,kemet corp,1,0,0,0,20121113,borruso joseph vincent,117911012015924,,male,44917587.0
31667.0,,887730,kemet corp,1,0,0,0,20121129,backes wilfried,117911012016604,,male,44917587.0
76727.0,,887730,kemet corp,0,1,0,0,20130204,persico daniel f.,117911013001766,"Vice President, Strategic",male,44921629.0
52175.0,,887730,kemet corp,0,1,0,0,20130204,lessner philip michael,117911013001764,VP-Chief Technical Officer,male,44921629.0
118774.0,,887730,kemet corp,0,1,0,0,20130204,lowe william m jr,117911013001769,Exec VP and CFO,male,44921629.0
27701.0,,887730,kemet corp,0,1,0,0,20130204,barkal susan berish,117911013001760,"VP Quality, CCO",female,44921629.0
100718.0,,887730,kemet corp,0,1,0,0,20130204,arguelles robert roger,117911013001759,"Sr VP, Operational Excellence",male,44921629.0
73592.0,,887730,kemet corp,0,1,0,0,20130204,meeks charles c. jr,117911013001758,"Senior Vice President, Ceramic",male,44921629.0
81191.0,,887730,kemet corp,0,1,0,0,20130204,hinojosa conrado,117911013001762,"Senior Vice President, Tantalu",male,44921629.0
50639.0,,887730,kemet corp,0,1,0,0,20130515,drabik john jason,117911013008454,SVP-Global Sales,male,44921629.0
161904.0,,887730,kemet corp,0,1,0,0,20130515,lowe william m jr,117911013008426,Exec VP and CFO,male,44921629.0
101581.0,,887730,kemet corp,0,1,0,0,20130515,meeks charles c. jr,117911013008428,"Senior Vice President, Ceramic",male,44921629.0
127385.0,,887730,kemet corp,0,1,0,0,20130515,arguelles robert roger,117911013008429,"Sr VP, Operational Excellence",male,44921629.0
70764.0,,887730,kemet corp,0,1,0,0,20130515,lessner philip michael,117911013008430,VP-Chief Technical Officer,male,44921629.0
36762.0,,887730,kemet corp,0,1,0,0,20130515,barkal susan berish,117911013008431,"VP Quality, CCO",female,44921629.0
78824.0,,887730,kemet corp,0,1,0,0,20130515,hinojosa conrado,117911013008432,"Senior Vice President, Tantalu",male,44921629.0
101729.0,,887730,kemet corp,0,1,0,0,20130515,kotelon marc,117911013008433,Senior VP-Global Sales,male,44921629.0
604054.0,,887730,kemet corp,1,1,0,0,20130515,loof per olof,117911013008425,Chief Executive Officer,male,44921629.0
61464.0,,887730,kemet corp,0,1,0,0,20130515,vosburgh richard m,117911013008455,SVP and CHRO,male,44921629.0
20601.0,,887730,kemet corp,0,1,0,0,20130515,willoughby robert stephens,117911013008456,VP--Film and Electrolytics,male,44921629.0
14167.0,,887730,kemet corp,1,0,0,0,20130528,paul robert g,117911013009135,,male,44921629.0
29200.0,,887730,kemet corp,1,0,0,0,20130610,borruso joseph vincent,117911013010003,,male,44921629.0
39501.0,,887730,kemet corp,1,0,0,0,20130812,paul robert g,117911013013020,,male,45088744.0
16230.0,,887730,kemet corp,1,0,0,0,20130812,kotzubei jacob,117911013013018,,male,45088744.0
32096.0,,887730,kemet corp,1,0,0,0,20130812,maddrey e erwin ii,117911013013019,,male,45088744.0
35867.0,,887730,kemet corp,1,0,0,0,20130812,borruso joseph vincent,117911013013016,,male,45088744.0
41192.0,,887730,kemet corp,1,0,0,0,20130812,brandenberg frank g,117911013013017,,male,45088744.0
38334.0,,887730,kemet corp,1,0,0,0,20130812,backes wilfried,117911013013013,,male,45088744.0
40001.0,,887730,kemet corp,1,0,0,0,20130812,bedi gurminder s,117911013013015,,male,45088744.0
49152.0,,887730,kemet corp,0,1,0,0,20140203,drabik john jason,117911014001657,SVP-Global Sales,male,45125371.0
68781.0,,887730,kemet corp,0,1,0,0,20140203,lessner philip michael,117911014001658,VP-Chief Technical Officer,male,45125371.0
159863.0,,887730,kemet corp,0,1,0,0,20140203,lowe william m jr,117911014001659,Exec VP and CFO,male,45125371.0
99103.0,,887730,kemet corp,0,1,0,0,20140203,meeks charles c. jr,117911014001660,"Senior Vice President, Ceramic",male,45125371.0
59831.0,,887730,kemet corp,0,1,0,0,20140203,vosburgh richard m,117911014001661,SVP and CHRO,male,45125371.0
35275.0,,887730,kemet corp,0,1,0,0,20140203,barkal susan berish,117911014001656,"VP Quality, CCO",female,45125371.0
