direct,indirect,issuer_cik,issuer_name,isDirector,isOfficer,isTenPercentOwner,isOther,date,name,accession,officerTitle,predicted_gender,total_stock
237380.0,,1060910,general metals corp,1,0.0,0.0,0.0,20110816,wang paul,143245311000089,,male,274148427.0
752257.0,,1060910,general metals corp,1,0.0,0.0,0.0,20110818,medhi purnendu k rana,143245311000090,,male,274148427.0
,,1060910,general metals corp,1,0.0,0.0,0.0,20110829,wang paul,143245311000091,,male,274148427.0
,,1060910,general metals corp,1,1.0,0.0,0.0,20110907,forbush daniel j,143245311000093,President/CEO/CFO,male,274148427.0
,,1060910,general metals corp,1,1.0,0.0,0.0,20111115,forbush daniel j,143245311000109,President/CEO/CFO,male,284936766.0
988812.0,,1060910,general metals corp,1,0.0,0.0,0.0,20111116,medhi purnendu k rana,143245311000111,,male,284936766.0
,,1060910,general metals corp,1,0.0,0.0,0.0,20111214,bigler larry m,143245311000119,,male,284936766.0
1516474.0,,1060910,general metals corp,1,0.0,0.0,0.0,20120824,medhi purnendu k rana,143245312000047,,male,302805880.0
1871700.0,,1060910,general metals corp,1,0.0,0.0,0.0,20120827,medhi purnendu k rana,143245312000048,,male,302805880.0
,,1060910,general metals corp,1,1.0,,,20120910,forbush daniel j,143774912009296,"President, CEO & CFO",male,302805880.0
,,1060910,general metals corp,1,,,,20120910,marting walter a. jr,143774912009293,,male,302805880.0
,,1060910,general metals corp,1,,,,20120910,bigler larry m,143774912009288,,male,302805880.0
12880000.0,,1060910,general metals corp,1,0.0,0.0,0.0,20121015,forbush daniel j,139608012000002,,male,315577831.0
5162748.0,,1060910,general metals corp,1,0.0,0.0,0.0,20121015,bigler larry m,146889612000001,,male,315577831.0
,,1060910,general metals corp,1,0.0,0.0,0.0,20121015,marting walter a. jr,152882512000001,,male,315577831.0
3371700.0,,1060910,general metals corp,1,0.0,0.0,0.0,20121031,medhi purnendu k rana,128195412000001,,male,328399205.0
2013380.0,,1060910,general metals corp,1,0.0,0.0,0.0,20121031,dyer shane kelly,156032612000002,,male,328399205.0
3644438.0,,1060910,general metals corp,1,0.0,0.0,0.0,20121102,medhi purnendu k rana,139608012000004,,male,328399205.0
2953401.0,,1060910,general metals corp,1,0.0,0.0,0.0,20121102,marting walter a. jr,139608012000005,,male,328399205.0
5435486.0,,1060910,general metals corp,1,0.0,0.0,0.0,20121102,bigler larry m,139608012000006,,male,328399205.0
2953401.0,,1060910,general metals corp,1,0.0,0.0,0.0,20121102,dyer shane kelly,139608012000003,,male,328399205.0
3243969.0,,1060910,general metals corp,1,0.0,0.0,0.0,20130311,marting walter a. jr,139608013000002,,male,345206914.0
5726054.0,,1060910,general metals corp,1,0.0,0.0,0.0,20130311,bigler larry m,139608013000001,,male,345206914.0
3934996.0,,1060910,general metals corp,1,0.0,0.0,0.0,20130311,medhi purnendu k rana,139608013000003,,male,345206914.0
3243969.0,,1060910,general metals corp,1,0.0,0.0,0.0,20130311,dyer shane kelly,139608013000004,,male,345206914.0
3550950.0,,1060910,general metals corp,1,0.0,0.0,0.0,20130604,marting walter a. jr,146889613000002,,male,348796328.0
,,1060910,general metals corp,1,0.0,0.0,0.0,20130604,bigler larry m,146889613000001,,male,348796328.0
4241977.0,,1060910,general metals corp,1,0.0,0.0,0.0,20130604,medhi purnendu k rana,146889613000003,,male,348796328.0
3550950.0,,1060910,general metals corp,1,0.0,0.0,0.0,20130604,dyer shane kelly,146889613000004,,male,348796328.0
13375000.0,,1060910,general metals corp,1,0.0,0.0,0.0,20130606,forbush daniel j,139608013000005,,male,348796328.0
8522263.0,,1060910,general metals corp,1,0.0,0.0,0.0,20140521,bigler larry m,139608014000003,,male,20260229.0
5980178.0,,1060910,general metals corp,1,0.0,0.0,0.0,20140521,marting walter a. jr,139608014000002,,male,20260229.0
5980178.0,,1060910,general metals corp,1,0.0,0.0,0.0,20140528,dyer shane kelly,139608014000004,,male,20260229.0
18375000.0,,1060910,general metals corp,1,1.0,0.0,0.0,20140528,forbush daniel j,139608014000005,President,male,20260229.0
8572263.0,,1060910,cibolan gold corp,1,0.0,0.0,0.0,20140529,bigler larry m,139608014000006,,male,20260229.0
461682.0,,1060910,cibolan gold corp,1,0.0,0.0,0.0,20150225,marting walter a. jr,139608015000002,,male,22429574.0
968750.0,,1060910,cibolan gold corp,1,1.0,0.0,0.0,20150225,forbush daniel j,139608015000003,"President, CEO and CFO",male,22429574.0
324009.0,,1060910,cibolan gold corp,1,0.0,0.0,0.0,20150225,marting walter a. jr,139608015000001,,male,22429574.0
360483.0,,1060910,cibolan gold corp,1,0.0,0.0,0.0,20150226,dyer shane kelly,139608015000004,,male,22429574.0
13750.0,,1060910,cibolan gold corp,1,1.0,0.0,0.0,20150706,forbush daniel j,139608015000005,"President, CEO & CFO",male,22429574.0
