direct,indirect,issuer_cik,issuer_name,isDirector,isOfficer,isTenPercentOwner,isOther,date,name,accession,officerTitle,predicted_gender,total_stock
9000.0,,1001426,pericom semiconductor corp,1,0,0,1,20100216,wong simon siu-weng,141316010000006,,male,
5500.0,,1001426,pericom semiconductor corp,1,0,0,1,20100216,sophie michael j,141316010000005,,male,
13800.0,,1001426,pericom semiconductor corp,1,0,0,1,20100216,lee hau l,141316010000004,,male,
,,1001426,pericom semiconductor corp,0,1,0,1,20100317,tachibana aaron,141316010000011,CFO,male,
808647.0,,1001426,pericom semiconductor corp,1,1,0,0,20100513,hui chi hung,141316010000016,"Sr.Vice President,  R & D",male,
25000.0,,1001426,pericom semiconductor corp,0,1,0,1,20100513,tachibana aaron,141316010000014,CFO and Sr. VP of Finance,male,
,,1001426,pericom semiconductor corp,0,1,0,0,20100602,cheung kenneth,141316010000020,Corporate Controller,male,
4000.0,,1001426,pericom semiconductor corp,0,1,0,1,20100812,cheung kenneth,141316010000022,Corporate Controller,male,
821647.0,,1001426,pericom semiconductor corp,1,1,0,0,20100915,hui chi hung,141316010000024,"Sr.Vice President,  R & D",male,
39161.0,,1001426,pericom semiconductor corp,0,1,0,0,20100915,chen jui-yung,141316010000023,Officer,male,
1154978.0,,1001426,pericom semiconductor corp,1,1,0,1,20100915,hui alex chi ming,141316010000025,President & CEO,male,
28000.0,,1001426,pericom semiconductor corp,0,1,0,1,20100924,liu shao-hung gerald,141316010000026,Senior VP of Marketing,male,
1117278.0,,1001426,pericom semiconductor corp,1,1,0,1,20101020,hui alex chi ming,141316010000028,President & CEO,male,
1123278.0,,1001426,pericom semiconductor corp,1,1,0,1,20101020,hui alex chi ming,141316010000027,President & CEO,male,
4000.0,,1001426,pericom semiconductor corp,0,1,0,1,20101208,cheung kenneth,141316010000030,Corporate Controller,male,
,,1001426,pericom semiconductor corp,1,0,0,1,20101213,mckenna dennis,141316010000037,,male,
,,1001426,pericom semiconductor corp,1,0,0,1,20101213,sophie michael j,141316010000039,,male,
,,1001426,pericom semiconductor corp,1,0,0,1,20101213,lee hau l,141316010000038,,male,
,,1001426,pericom semiconductor corp,1,0,0,1,20101213,wong simon siu-weng,141316010000036,,male,
27141.0,,1001426,pericom semiconductor corp,0,1,0,1,20101216,liu shao-hung gerald,141316010000047,Senior VP of Marketing,male,
38871.0,,1001426,pericom semiconductor corp,0,1,0,0,20101216,chen jui-yung,141316010000046,Officer,male,
820229.0,,1001426,pericom semiconductor corp,1,1,0,0,20101216,hui chi hung,141316010000045,"Sr.Vice President,  R & D",male,
,,1001426,pericom semiconductor corp,1,0,0,1,20110131,yang edward yao-wu,141316011000003,,male,
16050.0,,1001426,pericom semiconductor corp,1,0,0,1,20110210,lee hau l,141316011000013,,male,
6250.0,,1001426,pericom semiconductor corp,1,0,0,1,20110210,yang edward yao-wu,141316011000011,,male,
11250.0,,1001426,pericom semiconductor corp,1,0,0,1,20110210,wong simon siu-weng,141316011000009,,male,
6250.0,,1001426,pericom semiconductor corp,1,0,0,1,20110210,mckenna dennis,141316011000007,,male,
7750.0,,1001426,pericom semiconductor corp,1,0,0,1,20110210,sophie michael j,141316011000005,,male,
5000.0,,1001426,pericom semiconductor corp,0,1,0,1,20110805,cheung kenneth,141316011000016,Corporate Controller,male,24716000.0
829999.0,,1001426,pericom semiconductor corp,1,1,0,0,20110815,hui chi hung,141316011000019,"Sr.Vice President,  R & D",male,24716000.0
38497.0,,1001426,pericom semiconductor corp,0,1,0,0,20110815,chen jui-yung,141316011000022,Officer,male,24716000.0
4583.0,,1001426,pericom semiconductor corp,0,1,0,1,20110815,cheung kenneth,141316011000020,Corporate Controller,male,24716000.0
39061.0,,1001426,pericom semiconductor corp,0,1,0,0,20110915,chen jui-yung,141316011000025,Officer,male,24716000.0
828463.0,,1001426,pericom semiconductor corp,1,1,0,0,20110915,hui chi hung,141316011000024,"Sr.Vice President,  R & D",male,24716000.0
23157.0,,1001426,pericom semiconductor corp,0,1,0,1,20110921,tachibana aaron,141316011000028,CFO and Sr. VP of Finance,male,24716000.0
25000.0,,1001426,pericom semiconductor corp,0,1,0,1,20110921,tachibana aaron,141316011000027,CFO and Sr. VP of Finance,male,24716000.0
35568.0,,1001426,pericom semiconductor corp,0,1,0,0,20110921,chen jui-yung,141316011000026,Officer,male,24716000.0
23842.0,,1001426,pericom semiconductor corp,0,1,0,1,20110921,liu shao-hung gerald,141316011000029,Senior VP of Marketing,male,24716000.0
828463.0,,1001426,pericom semiconductor corp,1,1,0,0,20110928,hui chi hung,141316011000030,"Sr.Vice President,  R & D",male,24716000.0
6250.0,,1001426,pericom semiconductor corp,1,0,0,1,20111013,mckenna dennis,141316011000031,,male,24304000.0
35487.0,,1001426,pericom semiconductor corp,0,1,0,0,20111114,chen jui-yung,141316011000034,Officer,male,24317000.0
808644.0,,1001426,pericom semiconductor corp,1,1,0,0,20111114,hui chi hung,141316011000035,"Sr.Vice President,  R & D",male,24317000.0
,,1001426,pericom semiconductor corp,1,0,0,1,20111213,lee hau l,141316011000041,,male,24317000.0
,,1001426,pericom semiconductor corp,1,0,0,1,20111213,wong simon siu-weng,141316011000043,,male,24317000.0
,,1001426,pericom semiconductor corp,1,0,0,1,20111213,sophie michael j,141316011000042,,male,24317000.0
,,1001426,pericom semiconductor corp,1,0,0,1,20111213,yang edward yao-wu,141316011000040,,male,24317000.0
1160678.0,,1001426,pericom semiconductor corp,1,1,0,1,20111214,hui alex chi ming,141316011000048,President & CEO,male,24317000.0
26757.0,,1001426,pericom semiconductor corp,0,1,0,1,20111214,tachibana aaron,141316011000051,CFO and Sr. VP of Finance,male,24317000.0
821644.0,,1001426,pericom semiconductor corp,1,1,0,0,20111214,hui chi hung,141316011000049,"Sr.Vice President,  R & D",male,24317000.0
39087.0,,1001426,pericom semiconductor corp,0,1,0,0,20111214,chen jui-yung,141316011000050,Officer,male,24317000.0
817553.0,,1001426,pericom semiconductor corp,1,1,0,1,20120214,hui chi hung,141316012000004,"Sr.Vice President,  R & D",male,24111000.0
37350.0,,1001426,pericom semiconductor corp,0,1,0,1,20120214,chen jui-yung,141316012000003,Officer,male,24111000.0
24201.0,,1001426,pericom semiconductor corp,0,1,0,1,20120515,tachibana aaron,141316012000006,CFO and Sr. VP of Finance,male,23619000.0
6476.0,,1001426,pericom semiconductor corp,0,1,0,1,20120622,cheung kenneth,141316012000008,Corporate Controller,male,23619000.0
10000.0,,1001426,pericom semiconductor corp,1,0,0,1,20120802,sophie michael j,141316012000014,,male,23565000.0
13500.0,,1001426,pericom semiconductor corp,1,0,0,1,20120802,wong simon siu-weng,141316012000015,,male,23565000.0
8500.0,,1001426,pericom semiconductor corp,1,0,0,1,20120802,yang edward yao-wu,141316012000016,,male,23565000.0
18300.0,,1001426,pericom semiconductor corp,1,0,0,1,20120802,lee hau l,141316012000013,,male,23565000.0
37465.0,,1001426,pericom semiconductor corp,0,1,0,1,20120815,chen jui-yung,141316012000019,Officer,male,23565000.0
816535.0,,1001426,pericom semiconductor corp,1,1,0,1,20120815,hui chi hung,141316012000020,"Sr.Vice President,  R & D",male,23565000.0
7026.0,,1001426,pericom semiconductor corp,0,1,0,1,20120815,cheung kenneth,141316012000022,Corporate Controller,male,23565000.0
10626.0,,1001426,pericom semiconductor corp,0,1,0,1,20120912,cheung kenneth,141316012000024,Corporate Controller,male,23565000.0
815327.0,,1001426,pericom semiconductor corp,1,1,0,1,20120917,hui chi hung,141316012000026,"Sr.Vice President,  R & D",male,23565000.0
37052.0,,1001426,pericom semiconductor corp,0,1,0,1,20120917,chen jui-yung,141316012000028,Officer,male,23565000.0
,,1001426,pericom semiconductor corp,0,1,0,1,20121005,chen jui-yung,141316012000033,Officer,male,23525000.0
,,1001426,pericom semiconductor corp,1,1,0,1,20121005,hui alex chi ming,141316012000034,President & CEO,male,23525000.0
,,1001426,pericom semiconductor corp,0,1,0,1,20121005,tachibana aaron,141316012000035,CFO and Sr. VP of Finance,male,23525000.0
,,1001426,pericom semiconductor corp,1,1,0,1,20121005,hui chi hung,141316012000036,"Sr.Vice President,  R & D",male,23525000.0
824849.0,,1001426,pericom semiconductor corp,1,1,0,1,20121113,hui chi hung,141316012000047,"Sr.Vice President,  R & D",male,23525000.0
36288.0,,1001426,pericom semiconductor corp,0,1,0,1,20121113,chen jui-yung,141316012000044,Officer,male,23525000.0
813949.0,,1001426,pericom semiconductor corp,1,1,0,1,20121113,hui chi hung,141316012000046,"Sr.Vice President,  R & D",male,23525000.0
30201.0,,1001426,pericom semiconductor corp,0,1,0,1,20121113,tachibana aaron,141316012000045,"Sr. VP of Finance, and CFO",male,23525000.0
39288.0,,1001426,pericom semiconductor corp,0,1,0,1,20121114,chen jui-yung,141316012000050,Officer,male,23525000.0
1180378.0,,1001426,pericom semiconductor corp,1,1,0,1,20121114,hui alex chi ming,141316012000051,President & CEO,male,23525000.0
,,1001426,pericom semiconductor corp,1,0,0,1,20121210,lee hau l,141316012000056,,male,23525000.0
,,1001426,pericom semiconductor corp,1,0,0,1,20121210,yang edward yao-wu,141316012000057,,male,23525000.0
,,1001426,pericom semiconductor corp,1,0,0,1,20121210,sophie michael j,141316012000058,,male,23525000.0
,,1001426,pericom semiconductor corp,1,0,0,1,20121210,wong simon siu-weng,141316012000059,,male,23525000.0
823640.0,,1001426,pericom semiconductor corp,1,1,0,1,20121213,hui chi hung,141316012000061,"Sr.Vice President,  R & D",male,23525000.0
38952.0,,1001426,pericom semiconductor corp,0,1,0,1,20121214,chen jui-yung,141316012000064,Officer,male,23525000.0
29865.0,,1001426,pericom semiconductor corp,0,1,0,1,20121214,tachibana aaron,141316012000065,"Sr. VP of Finance, and CFO",male,23525000.0
37313.0,,1001426,pericom semiconductor corp,0,1,0,1,20130212,chen jui-yung,141316013000004,Officer,male,23493000.0
819767.0,,1001426,pericom semiconductor corp,1,1,0,1,20130212,hui chi hung,141316013000002,"Sr.Vice President,  R & D",male,23493000.0
20550.0,,1001426,pericom semiconductor corp,1,0,0,1,20130214,lee hau l,141316013000006,,male,23493000.0
12250.0,,1001426,pericom semiconductor corp,1,0,0,1,20130214,sophie michael j,141316013000008,,male,23493000.0
15750.0,,1001426,pericom semiconductor corp,1,0,0,1,20130215,wong simon siu-weng,141316013000011,,male,23493000.0
10750.0,,1001426,pericom semiconductor corp,1,0,0,1,20130215,yang edward yao-wu,141316013000012,,male,23493000.0
,,1001426,pericom semiconductor corp,1,0,0,0,20130403,east john c,141316013000016,,male,22941000.0
27001.0,,1001426,pericom semiconductor corp,0,1,0,1,20130514,tachibana aaron,141316013000018,"Sr. VP of Finance, and CFO",male,22941000.0
5000.0,,1001426,pericom semiconductor corp,1,0,0,0,20130516,east john c,141316013000020,,male,22941000.0
13011.0,,1001426,pericom semiconductor corp,0,0,0,1,20130617,cheung kenneth,141316013000022,,male,22941000.0
12574.0,,1001426,pericom semiconductor corp,0,0,0,1,20130812,cheung kenneth,141316013000024,,male,22813000.0
12237.0,,1001426,pericom semiconductor corp,0,0,0,1,20130912,cheung kenneth,141316013000026,,male,22813000.0
38133.0,,1001426,pericom semiconductor corp,0,1,0,1,20130917,chen jui-yung,141316013000029,Officer,male,22813000.0
818531.0,,1001426,pericom semiconductor corp,1,1,0,1,20130917,hui chi hung,141316013000030,"Sr.Vice President,  R & D",male,22813000.0
43551.0,,1001426,pericom semiconductor corp,0,1,0,1,20131202,chen jui-yung,141316013000050,"Sr. VP, Finance-Asia",male,22767000.0
16617.0,,1001426,pericom semiconductor corp,0,0,0,1,20131205,cheung kenneth,141316013000052,,male,22767000.0
,,1001426,pericom semiconductor corp,1,0,0,1,20131209,lee hau l,141316013000061,,male,22767000.0
,,1001426,pericom semiconductor corp,1,0,0,1,20131209,sophie michael j,141316013000063,,male,22767000.0
,,1001426,pericom semiconductor corp,1,0,0,1,20131209,wong simon siu-weng,141316013000065,,male,22767000.0
,,1001426,pericom semiconductor corp,1,0,0,0,20131209,east john c,141316013000059,,male,22767000.0
43216.0,,1001426,pericom semiconductor corp,0,1,0,1,20131216,chen jui-yung,141316013000068,"Sr. VP, Finance-Asia",male,22767000.0
796527.0,,1001426,pericom semiconductor corp,1,1,0,1,20131216,hui chi hung,141316013000069,"Sr.Vice President,  R & D",male,22767000.0
,,1001426,pericom semiconductor corp,0,1,0,1,20140110,boyd james,141316014000006,Sr. VP of Finance and CFO,male,22813000.0
27001.0,,1001426,pericom semiconductor corp,0,1,0,1,20140110,tachibana aaron,141316014000007,"Sr. VP of Finance, and CFO",male,22813000.0
27001.0,,1001426,pericom semiconductor corp,0,1,0,1,20140110,tachibana aaron,141316014000008,"Sr. VP of Finance, and CFO",male,22813000.0
22800.0,,1001426,pericom semiconductor corp,1,0,0,1,20140221,lee hau l,141316014000012,,male,22822000.0
14500.0,,1001426,pericom semiconductor corp,1,0,0,1,20140221,sophie michael j,141316014000013,,male,22822000.0
18000.0,,1001426,pericom semiconductor corp,1,0,0,1,20140221,wong simon siu-weng,141316014000014,,male,22822000.0
1215678.0,,1001426,pericom semiconductor corp,1,1,0,1,20140225,hui alex chi ming,141316014000016,President & CEO,male,22822000.0
,,1001426,pericom semiconductor corp,0,1,0,1,20140403,bauer kevin s,141316014000025,CFO & Sr. VP of Finance,male,22394000.0
791865.0,,1001426,pericom semiconductor corp,1,1,0,1,20140513,hui chi hung,141316014000027,"Sr.Vice President,  R & D",male,22177000.0
791765.0,,1001426,pericom semiconductor corp,1,1,0,1,20140514,hui chi hung,141316014000029,"Sr.Vice President,  R & D",male,22177000.0
25000.0,,1001426,pericom semiconductor corp,0,1,0,1,20140523,bauer kevin s,141316014000031,CFO & Sr. VP of Finance,male,22177000.0
781527.0,,1001426,pericom semiconductor corp,1,1,0,1,20140530,hui chi hung,141316014000033,"Sr.Vice President,  R & D",male,22177000.0
16503.0,,1001426,pericom semiconductor corp,0,0,0,1,20140617,cheung kenneth,141316014000035,,male,22177000.0
766527.0,,1001426,pericom semiconductor corp,1,1,0,1,20140703,hui chi hung,141316014000037,"Sr.Vice President,  R & D",male,21974000.0
1249585.0,,1001426,pericom semiconductor corp,1,1,0,1,20140721,hui alex chi ming,141316014000041,President & CEO,male,21974000.0
16068.0,,1001426,pericom semiconductor corp,0,0,0,1,20140813,cheung kenneth,141316014000043,,male,21974000.0
13076.0,,1001426,pericom semiconductor corp,0,0,0,1,20140820,cheung kenneth,141316014000045,,male,21974000.0
751527.0,,1001426,pericom semiconductor corp,1,1,0,1,20140904,hui chi hung,141316014000049,"Sr.Vice President,  R & D",male,21974000.0
14004.0,,1001426,pericom semiconductor corp,0,0,0,1,20140912,cheung kenneth,141316014000051,,male,21974000.0
750256.0,,1001426,pericom semiconductor corp,1,1,0,1,20140916,hui chi hung,141316014000055,"Sr.Vice President,  R & D",male,21974000.0
43360.0,,1001426,pericom semiconductor corp,0,1,0,1,20140916,chen jui-yung,141316014000054,"Sr. VP, Finance-Asia",male,21974000.0
,,1001426,pericom semiconductor corp,1,1,0,1,20141014,hui alex chi ming,141316014000060,President & CEO,male,21968000.0
