filing_date,component,url,ownerOrg,name
2025-02-20,layoffs-international,https://www.sec.gov/Archives/edgar/data/1625297/000162529725000003/exhibit992q42024pressrelea.htm#:~:text=layoff%2A&text=workforce%20reduction&text=headcount%20reduction&text=reduction%20in%20force&text=staff%20reduction,Life Sciences,INDIVIOR PLC
2025-02-06,layoffs-international,https://www.sec.gov/Archives/edgar/data/311337/000110465925009769/tm251009d1_ex99-2.htm#:~:text=layoff%2A&text=workforce%20reduction&text=headcount%20reduction&text=reduction%20in%20force&text=staff%20reduction,Energy & Transportation,SUNCOR ENERGY INC
2025-02-21,layoffs-international,https://www.sec.gov/Archives/edgar/data/1920294/000095017025024898/rzlv-ex10_1.htm#:~:text=layoff%2A&text=workforce%20reduction&text=headcount%20reduction&text=reduction%20in%20force&text=staff%20reduction,Technology,REZOLVE AI Ltd
2025-02-06,layoffs-international,https://www.sec.gov/Archives/edgar/data/1690511/000169051125000004/cg6-kmdaq32025.htm#:~:text=layoff%2A&text=workforce%20reduction&text=headcount%20reduction&text=reduction%20in%20force&text=staff%20reduction,Manufacturing,Canada Goose Holdings Inc.
2025-02-18,layoffs-international,https://www.sec.gov/Archives/edgar/data/1799983/000162828025006033/globetrotter-tendertrans.htm#:~:text=layoff%2A&text=workforce%20reduction&text=headcount%20reduction&text=reduction%20in%20force&text=staff%20reduction,Technology,Global Blue Group Holding AG
2025-02-03,layoffs-international,https://www.sec.gov/Archives/edgar/data/1856084/000121390025009126/ea022954901ex10-1_china.htm#:~:text=layoff%2A&text=workforce%20reduction&text=headcount%20reduction&text=reduction%20in%20force&text=staff%20reduction,Trade & Services,Ridgetech Inc.
2025-02-21,layoffs-international,https://www.sec.gov/Archives/edgar/data/313216/000031321625000012/a2024-philipsannualrepor.htm#:~:text=layoff%2A&text=workforce%20reduction&text=headcount%20reduction&text=reduction%20in%20force&text=staff%20reduction,Industrial Applications and Services,KONINKLIJKE PHILIPS NV
2025-01-15,layoffs-international,https://www.sec.gov/Archives/edgar/data/1780232/000110465925003810/tm253222d1_ex99-2.htm#:~:text=layoff%2A&text=workforce%20reduction&text=headcount%20reduction&text=reduction%20in%20force&text=staff%20reduction,Energy & Transportation,GFL Environmental Inc.
2025-02-04,layoffs-international,https://www.sec.gov/Archives/edgar/data/16868/000001686825000011/a2024annualstatsmda.htm#:~:text=layoff%2A&text=workforce%20reduction&text=headcount%20reduction&text=reduction%20in%20force&text=staff%20reduction,Energy & Transportation,CANADIAN NATIONAL RAILWAY CO
2025-02-13,layoffs-international,https://www.sec.gov/Archives/edgar/data/868675/000110465925012535/tm251168d6_ex99-1.htm#:~:text=layoff%2A&text=workforce%20reduction&text=headcount%20reduction&text=reduction%20in%20force&text=staff%20reduction,Technology,TELUS CORP
2025-03-10,layoffs-international,https://www.sec.gov/Archives/edgar/data/718940/000119312525050011/d911184dex992.pdf#:~:text=layoff%2A&text=workforce%20reduction&text=headcount%20reduction&text=reduction%20in%20force&text=staff%20reduction,Technology,BCE INC
2025-03-06,layoffs-international,https://www.sec.gov/Archives/edgar/data/733099/000119312525048506/d931150dex991.htm#:~:text=layoff%2A&text=workforce%20reduction&text=headcount%20reduction&text=reduction%20in%20force&text=staff%20reduction,Technology,ROGERS COMMUNICATIONS INC
2025-03-20,layoffs-international,https://www.sec.gov/Archives/edgar/data/800166/000127956925000284/ex991.htm#:~:text=layoff%2A&text=workforce%20reduction&text=headcount%20reduction&text=reduction%20in%20force&text=staff%20reduction,Energy & Transportation,New Gold Inc. /FI
2025-03-26,layoffs-international,https://www.sec.gov/Archives/edgar/data/16868/000110465925028255/tm254878d5_ex99-5.pdf#:~:text=layoff%2A&text=workforce%20reduction&text=headcount%20reduction&text=reduction%20in%20force&text=staff%20reduction,Energy & Transportation,CANADIAN NATIONAL RAILWAY CO
2025-03-24,layoffs-international,https://www.sec.gov/Archives/edgar/data/1159152/000119312525060796/d865402dex991.htm#:~:text=layoff%2A&text=workforce%20reduction&text=headcount%20reduction&text=reduction%20in%20force&text=staff%20reduction,Manufacturing,James Hardie Industries plc
2025-01-27,layoffs-international,https://www.sec.gov/Archives/edgar/data/1922446/000114036125001926/ny20034190x6_ex99-1.htm#:~:text=layoff%2A&text=workforce%20reduction&text=headcount%20reduction&text=reduction%20in%20force&text=staff%20reduction,Energy & Transportation,Diversified Energy Co PLC
2025-03-20,layoffs-international,https://www.sec.gov/Archives/edgar/data/1116578/000110465925025883/tm2429688d4_6k.htm#:~:text=layoff%2A&text=workforce%20reduction&text=headcount%20reduction&text=reduction%20in%20force&text=staff%20reduction,Finance,PRUDENTIAL PLC
2025-03-06,layoffs-international,https://www.sec.gov/Archives/edgar/data/733099/000119312525048555/d925298dex991.pdf#:~:text=layoff%2A&text=workforce%20reduction&text=headcount%20reduction&text=reduction%20in%20force&text=staff%20reduction,Technology,ROGERS COMMUNICATIONS INC
2025-03-07,layoffs-international,https://www.sec.gov/Archives/edgar/data/1000184/000110465925021471/tm251055d2_ex99-1.htm#:~:text=layoff%2A&text=workforce%20reduction&text=headcount%20reduction&text=reduction%20in%20force&text=staff%20reduction,Technology,SAP SE
2025-03-26,layoffs-international,https://www.sec.gov/Archives/edgar/data/1116578/000110465925028061/tm2429688d5_ex99-1.pdf#:~:text=layoff%2A&text=workforce%20reduction&text=headcount%20reduction&text=reduction%20in%20force&text=staff%20reduction,Finance,PRUDENTIAL PLC
2025-02-28,layoffs-international,https://www.sec.gov/Archives/edgar/data/1468522/000146852225000037/iai2024ferrovial_op.htm#:~:text=layoff%2A&text=workforce%20reduction&text=headcount%20reduction&text=reduction%20in%20force&text=staff%20reduction,Real Estate & Construction,Ferrovial SE
