ownerOrg,period,count,component
Real Estate & Construction,1,1,graphite_domestic
Energy & Transportation,1,2,graphite_intl
Manufacturing,1,1,graphite_intl
Manufacturing,1,1,carbon-fiber_domestic
Energy & Transportation,1,1,tungsten_intl
Life Sciences,1,1,magnesium_domestic
Energy & Transportation,1,1,magnesium_intl
Energy & Transportation,1,2,lithium_domestic
Industrial Applications and Services,1,1,lithium_domestic
Manufacturing,1,1,lithium_domestic
Energy & Transportation,1,10,lithium_intl
Industrial Applications and Services,1,1,lithium_intl
Manufacturing,1,3,lithium_intl
