filing_date,cik,accession_number,filename,component,url
2024-05-10,1543623,0001213900-24-041830,ea0205540-10k_usnuclear.htm,power,https://www.sec.gov/Archives/edgar/data/1543623/000121390024041830/ea0205540-10k_usnuclear.htm#:~:text=nuclear%20power%20plant&text=nuclear%20energy&text=nuclear%20generation&text=nuclear%20reactor&text=nuclear%20facility&text=nuclear%20capacity&text=small%20modular%20reactor&text=SMR%20nuclear&text=advanced%20nuclear&text=next%20generation%20nuclear&text=nuclear%20fleet
2025-02-25,788784,0000950170-25-026874,peg-20241231.htm,power,https://www.sec.gov/Archives/edgar/data/788784/000095017025026874/peg-20241231.htm#:~:text=nuclear%20power%20plant&text=nuclear%20energy&text=nuclear%20generation&text=nuclear%20reactor&text=nuclear%20facility&text=nuclear%20capacity&text=small%20modular%20reactor&text=SMR%20nuclear&text=advanced%20nuclear&text=next%20generation%20nuclear&text=nuclear%20fleet
2025-02-25,81033,0000950170-25-026874,peg-20241231.htm,power,https://www.sec.gov/Archives/edgar/data/81033/000095017025026874/peg-20241231.htm#:~:text=nuclear%20power%20plant&text=nuclear%20energy&text=nuclear%20generation&text=nuclear%20reactor&text=nuclear%20facility&text=nuclear%20capacity&text=small%20modular%20reactor&text=SMR%20nuclear&text=advanced%20nuclear&text=next%20generation%20nuclear&text=nuclear%20fleet
2024-04-16,1621906,0001213900-24-033519,ea0203654-10k_western.htm,power,https://www.sec.gov/Archives/edgar/data/1621906/000121390024033519/ea0203654-10k_western.htm#:~:text=nuclear%20power%20plant&text=nuclear%20energy&text=nuclear%20generation&text=nuclear%20reactor&text=nuclear%20facility&text=nuclear%20capacity&text=small%20modular%20reactor&text=SMR%20nuclear&text=advanced%20nuclear&text=next%20generation%20nuclear&text=nuclear%20fleet
2024-11-14,1376986,0001376986-24-000029,tve-20240930.htm,power,https://www.sec.gov/Archives/edgar/data/1376986/000137698624000029/tve-20240930.htm#:~:text=nuclear%20power%20plant&text=nuclear%20energy&text=nuclear%20generation&text=nuclear%20reactor&text=nuclear%20facility&text=nuclear%20capacity&text=small%20modular%20reactor&text=SMR%20nuclear&text=advanced%20nuclear&text=next%20generation%20nuclear&text=nuclear%20fleet
2025-02-28,1692819,0001692819-25-000013,vistra-20241231.htm,power,https://www.sec.gov/Archives/edgar/data/1692819/000169281925000013/vistra-20241231.htm#:~:text=nuclear%20power%20plant&text=nuclear%20energy&text=nuclear%20generation&text=nuclear%20reactor&text=nuclear%20facility&text=nuclear%20capacity&text=small%20modular%20reactor&text=SMR%20nuclear&text=advanced%20nuclear&text=next%20generation%20nuclear&text=nuclear%20fleet
2025-02-07,1065059,0001065059-25-000006,leu-20241231.htm,power,https://www.sec.gov/Archives/edgar/data/1065059/000106505925000006/leu-20241231.htm#:~:text=nuclear%20power%20plant&text=nuclear%20energy&text=nuclear%20generation&text=nuclear%20reactor&text=nuclear%20facility&text=nuclear%20capacity&text=small%20modular%20reactor&text=SMR%20nuclear&text=advanced%20nuclear&text=next%20generation%20nuclear&text=nuclear%20fleet
2025-02-26,1809987,0001628280-25-008233,mir-20241231.htm,power,https://www.sec.gov/Archives/edgar/data/1809987/000162828025008233/mir-20241231.htm#:~:text=nuclear%20power%20plant&text=nuclear%20energy&text=nuclear%20generation&text=nuclear%20reactor&text=nuclear%20facility&text=nuclear%20capacity&text=small%20modular%20reactor&text=SMR%20nuclear&text=advanced%20nuclear&text=next%20generation%20nuclear&text=nuclear%20fleet
2025-02-18,1002910,0001002910-25-000055,aee-20241231.htm,power,https://www.sec.gov/Archives/edgar/data/1002910/000100291025000055/aee-20241231.htm#:~:text=nuclear%20power%20plant&text=nuclear%20energy&text=nuclear%20generation&text=nuclear%20reactor&text=nuclear%20facility&text=nuclear%20capacity&text=small%20modular%20reactor&text=SMR%20nuclear&text=advanced%20nuclear&text=next%20generation%20nuclear&text=nuclear%20fleet
2025-02-18,18654,0001002910-25-000055,aee-20241231.htm,power,https://www.sec.gov/Archives/edgar/data/18654/000100291025000055/aee-20241231.htm#:~:text=nuclear%20power%20plant&text=nuclear%20energy&text=nuclear%20generation&text=nuclear%20reactor&text=nuclear%20facility&text=nuclear%20capacity&text=small%20modular%20reactor&text=SMR%20nuclear&text=advanced%20nuclear&text=next%20generation%20nuclear&text=nuclear%20fleet
2025-02-18,100826,0001002910-25-000055,aee-20241231.htm,power,https://www.sec.gov/Archives/edgar/data/100826/000100291025000055/aee-20241231.htm#:~:text=nuclear%20power%20plant&text=nuclear%20energy&text=nuclear%20generation&text=nuclear%20reactor&text=nuclear%20facility&text=nuclear%20capacity&text=small%20modular%20reactor&text=SMR%20nuclear&text=advanced%20nuclear&text=next%20generation%20nuclear&text=nuclear%20fleet
2025-02-13,1004980,0001004980-25-000010,pcg-20241231.htm,power,https://www.sec.gov/Archives/edgar/data/1004980/000100498025000010/pcg-20241231.htm#:~:text=nuclear%20power%20plant&text=nuclear%20energy&text=nuclear%20generation&text=nuclear%20reactor&text=nuclear%20facility&text=nuclear%20capacity&text=small%20modular%20reactor&text=SMR%20nuclear&text=advanced%20nuclear&text=next%20generation%20nuclear&text=nuclear%20fleet
2025-02-13,75488,0001004980-25-000010,pcg-20241231.htm,power,https://www.sec.gov/Archives/edgar/data/75488/000100498025000010/pcg-20241231.htm#:~:text=nuclear%20power%20plant&text=nuclear%20energy&text=nuclear%20generation&text=nuclear%20reactor&text=nuclear%20facility&text=nuclear%20capacity&text=small%20modular%20reactor&text=SMR%20nuclear&text=advanced%20nuclear&text=next%20generation%20nuclear&text=nuclear%20fleet
2025-02-24,1486957,0001486957-25-000008,bwxt-20241231.htm,power,https://www.sec.gov/Archives/edgar/data/1486957/000148695725000008/bwxt-20241231.htm#:~:text=nuclear%20power%20plant&text=nuclear%20energy&text=nuclear%20generation&text=nuclear%20reactor&text=nuclear%20facility&text=nuclear%20capacity&text=small%20modular%20reactor&text=SMR%20nuclear&text=advanced%20nuclear&text=next%20generation%20nuclear&text=nuclear%20fleet
2025-02-27,715957,0000950170-25-028387,d-20241231.htm,power,https://www.sec.gov/Archives/edgar/data/715957/000095017025028387/d-20241231.htm#:~:text=nuclear%20power%20plant&text=nuclear%20energy&text=nuclear%20generation&text=nuclear%20reactor&text=nuclear%20facility&text=nuclear%20capacity&text=small%20modular%20reactor&text=SMR%20nuclear&text=advanced%20nuclear&text=next%20generation%20nuclear&text=nuclear%20fleet
2025-02-27,103682,0000950170-25-028387,d-20241231.htm,power,https://www.sec.gov/Archives/edgar/data/103682/000095017025028387/d-20241231.htm#:~:text=nuclear%20power%20plant&text=nuclear%20energy&text=nuclear%20generation&text=nuclear%20reactor&text=nuclear%20facility&text=nuclear%20capacity&text=small%20modular%20reactor&text=SMR%20nuclear&text=advanced%20nuclear&text=next%20generation%20nuclear&text=nuclear%20fleet
2025-02-06,1996810,0001996810-25-000011,gevform10k2024-ex211.htm,power,https://www.sec.gov/Archives/edgar/data/1996810/000199681025000011/gevform10k2024-ex211.htm#:~:text=nuclear%20power%20plant&text=nuclear%20energy&text=nuclear%20generation&text=nuclear%20reactor&text=nuclear%20facility&text=nuclear%20capacity&text=small%20modular%20reactor&text=SMR%20nuclear&text=advanced%20nuclear&text=next%20generation%20nuclear&text=nuclear%20fleet
2025-02-27,1123852,0001123852-25-000005,nspm-20241231.htm,power,https://www.sec.gov/Archives/edgar/data/1123852/000112385225000005/nspm-20241231.htm#:~:text=nuclear%20power%20plant&text=nuclear%20energy&text=nuclear%20generation&text=nuclear%20reactor&text=nuclear%20facility&text=nuclear%20capacity&text=small%20modular%20reactor&text=SMR%20nuclear&text=advanced%20nuclear&text=next%20generation%20nuclear&text=nuclear%20fleet
