filing_date,component,url,ownerOrg,name,cik
2025-02-27,domestic,https://www.sec.gov/Archives/edgar/data/749647/000149315225008460/form10-k.htm#:~:text=we%20rely%20on%20third-party&text=we%20engage%20third-party,Life Sciences,"Imunon, Inc.",749647
2025-02-27,domestic,https://www.sec.gov/Archives/edgar/data/1704292/000162828025008409/zlab-20241231.htm#:~:text=we%20rely%20on%20third-party&text=we%20engage%20third-party,Life Sciences,Zai Lab Ltd,1704292
2025-03-13,domestic,https://www.sec.gov/Archives/edgar/data/1463972/000155837025002903/vuzi-20241231x10k.htm#:~:text=we%20rely%20on%20third-party&text=we%20engage%20third-party,Manufacturing,Vuzix Corp,1463972
2025-03-24,domestic,https://www.sec.gov/Archives/edgar/data/1374690/000095017025043925/lrmr-20241231.htm#:~:text=we%20rely%20on%20third-party&text=we%20engage%20third-party,Life Sciences,"Larimar Therapeutics, Inc.",1374690
2025-02-27,domestic,https://www.sec.gov/Archives/edgar/data/1721386/000172138625000008/lsea-20241231.htm#:~:text=we%20rely%20on%20third-party&text=we%20engage%20third-party,Real Estate & Construction,Landsea Homes Corp,1721386
2025-02-19,domestic,https://www.sec.gov/Archives/edgar/data/1637873/000162828025006439/acva-20241231.htm#:~:text=we%20rely%20on%20third-party&text=we%20engage%20third-party,Trade & Services,ACV Auctions Inc.,1637873
2025-02-27,domestic,https://www.sec.gov/Archives/edgar/data/1213037/000095017025028992/crdf-20241231.htm#:~:text=we%20rely%20on%20third-party&text=we%20engage%20third-party,Life Sciences,"Cardiff Oncology, Inc.",1213037
2025-02-27,domestic,https://www.sec.gov/Archives/edgar/data/1210677/000095017025029067/fa-20241231.htm#:~:text=we%20rely%20on%20third-party&text=we%20engage%20third-party,Trade & Services,FIRST ADVANTAGE CORP,1210677
2025-02-26,domestic,https://www.sec.gov/Archives/edgar/data/1384905/000138490525000014/rng-20241231.htm#:~:text=we%20rely%20on%20third-party&text=we%20engage%20third-party,Technology,"RingCentral, Inc.",1384905
2024-10-24,domestic,https://www.sec.gov/Archives/edgar/data/54187/000120677424000954/mays4367971-10k.htm#:~:text=we%20rely%20on%20third-party&text=we%20engage%20third-party,Real Estate & Construction,MAYS J W INC,54187
2025-03-14,domestic,https://www.sec.gov/Archives/edgar/data/1823878/000182387825000017/myps-20241231.htm#:~:text=we%20rely%20on%20third-party&text=we%20engage%20third-party,Technology,"PLAYSTUDIOS, Inc.",1823878
2025-02-28,domestic,https://www.sec.gov/Archives/edgar/data/1793659/000179365925000047/rsi-20241231.htm#:~:text=we%20rely%20on%20third-party&text=we%20engage%20third-party,Trade & Services,"Rush Street Interactive, Inc.",1793659
2025-03-21,domestic,https://www.sec.gov/Archives/edgar/data/1947210/000143774925008652/hrol20241231_10k.htm#:~:text=we%20rely%20on%20third-party&text=we%20engage%20third-party,Trade & Services,"High Roller Technologies, Inc.",1947210
2025-03-11,domestic,https://www.sec.gov/Archives/edgar/data/1853825/000149315225009872/form10-k.htm#:~:text=we%20rely%20on%20third-party&text=we%20engage%20third-party,Technology,THUMZUP MEDIA Corp,1853825
2025-02-18,domestic,https://www.sec.gov/Archives/edgar/data/910329/000162828025006094/med-20241231.htm#:~:text=we%20rely%20on%20third-party&text=we%20engage%20third-party,Manufacturing,MEDIFAST INC,910329
2025-03-14,domestic,https://www.sec.gov/Archives/edgar/data/1824293/000182429325000050/ck0001824293-20241231.htm#:~:text=we%20rely%20on%20third-party&text=we%20engage%20third-party,Life Sciences,"GRI Bio, Inc.",1824293
2025-02-19,domestic,https://www.sec.gov/Archives/edgar/data/860731/000086073125000007/tyl-20241231.htm#:~:text=we%20rely%20on%20third-party&text=we%20engage%20third-party,Technology,TYLER TECHNOLOGIES INC,860731
2025-03-06,domestic,https://www.sec.gov/Archives/edgar/data/216085/000162828025010869/hvt-20241231.htm#:~:text=we%20rely%20on%20third-party&text=we%20engage%20third-party,Trade & Services,HAVERTY FURNITURE COMPANIES INC,216085
2025-03-11,domestic,https://www.sec.gov/Archives/edgar/data/1462056/000146205625000015/blze-20241231.htm#:~:text=we%20rely%20on%20third-party&text=we%20engage%20third-party,Technology,"Backblaze, Inc.",1462056
2024-05-21,domestic,https://www.sec.gov/Archives/edgar/data/1023731/000102373124000042/eght-20240331.htm#:~:text=we%20rely%20on%20third-party&text=we%20engage%20third-party,Technology,8X8 INC /DE/,1023731
2025-02-21,domestic,https://www.sec.gov/Archives/edgar/data/1040829/000155837025001286/rhp-20241231x10k.htm#:~:text=we%20rely%20on%20third-party&text=we%20engage%20third-party,Real Estate & Construction,"Ryman Hospitality Properties, Inc.",1040829
2025-02-19,domestic,https://www.sec.gov/Archives/edgar/data/1835830/000183583025000014/kvyo-20241231.htm#:~:text=we%20rely%20on%20third-party&text=we%20engage%20third-party,Technology,"Klaviyo, Inc.",1835830
