ownerOrg,period,count,component
Industrial Applications and Services,1,1,al-qaeda_domestic
Energy & Transportation,1,2,houthis_international
Manufacturing,1,2,hezbollah_international
Finance,1,1,hamas_domestic
Industrial Applications and Services,1,2,hamas_domestic
Manufacturing,1,1,hamas_domestic
Real Estate & Construction,1,1,hamas_domestic
Technology,1,1,hamas_domestic
Trade & Services,1,1,hamas_domestic
Energy & Transportation,1,3,hamas_international
Finance,1,1,hamas_international
Manufacturing,1,2,hamas_international
Technology,1,2,hamas_international
Life Sciences,1,1,general-terrorism_domestic
Office of Structured Finance,1,1,general-terrorism_domestic
Real Estate & Construction,1,1,general-terrorism_domestic
Manufacturing,1,1,general-terrorism_international
