"zip_code","count"
"10271","75"
"60606","70"
"10022","60"
"10036","57"
"10019","57"
"10017","53"
"19809","44"
"77002","42"
"10018","37"
"92121","37"
"94080","35"
"10001","35"
"02109","35"
"75201","32"
"19103","29"
"06902","28"
"80202","26"
"10010","25"
"02210","23"
"10005","23"
"94105","22"
"92618","22"
"02116","21"
"33401","21"
"20814","21"
"30309","20"
"60515","20"
"92130","20"
"80112","19"
"02451","19"
"77056","17"
"02142","17"
"22102","17"
"33431","16"
"77024","16"
"02110","16"
"95054","15"
"19087","15"
"10580","15"
"95134","15"
"77380","15"
"10007","15"
"20190","14"
"75024","14"
"10016","14"
"94111","14"
"94538","14"
"10013","14"
"02139","14"
"33131","14"
"92614","13"
"94104","13"
"80111","13"
"33301","13"
"78701","13"
"20850","13"
"02199","12"
"63105","12"
"06830","12"
"80237","12"
"19801","12"
"01803","12"
"02472","12"
"92660","11"
"89118","11"
"94403","11"
"11747","11"
"19355","11"
"94025","11"
"10011","11"
"33487","11"
"08540","11"
"94063","11"
"77042","11"
"80021","10"
"75039","10"
"30339","10"
"75240","10"
"33139","10"
"94065","10"
"10004","10"
"94608","10"
"37027","10"
"10003","10"
"92037","10"
"94107","10"
"60654","9"
"07054","9"
"90025","9"
"32801","9"
"02141","9"
"66211","9"
"30305","9"
"01301","9"
"33134","8"
"75225","8"
"30308","8"
"90067","8"
"28202","8"
"55344","8"
"95110","8"
"76102","8"
"10286","8"
"94404","8"
"89144","8"
"33607","8"
"80301","8"
"90212","8"
"60563","8"
"85258","8"
"10105","8"
"94103","8"
"33602","8"
"94596","8"
"60601","7"
"96813","7"
"45202","7"
"32789","7"
"30326","7"
"10118","7"
"19104","7"
"37203","7"
"60607","7"
"33137","7"
"75254","7"
"28277","7"
"92127","7"
"02453","7"
"89501","7"
"92612","7"
"10104","7"
"85281","7"
"92008","7"
"91361","7"
"10281","7"
"94043","7"
"19112","7"
"98101","7"
"77079","7"
"10014","7"
"94612","7"
"07102","7"
"10065","7"
"85260","7"
"02421","7"
"30328","7"
"10154","7"
"94005","7"
"95131","7"
"28203","7"
"60015","6"
"92626","6"
"32256","6"
"94304","6"
"75219","6"
"90010","6"
"60661","6"
"11753","6"
"23060","6"
"19428","6"
"98104","6"
"84043","6"
"06901","6"
"90017","6"
"53202","6"
"89052","6"
"33130","6"
"85255","6"
"01752","6"
"91101","6"
"94085","6"
"89135","6"
"89502","6"
"90404","6"
"02458","6"
"30009","6"
"92122","6"
"11354","6"
"46032","6"
"85016","6"
"60187","6"
"28288","6"
"01887","5"
"06484","5"
"89511","5"
"55402","5"
"75038","5"
"53212","5"
"90245","5"
"79701","5"
"33324","5"
"77381","5"
"60611","5"
"06851","5"
"22203","5"
"80290","5"
"01810","5"
"95014","5"
"75234","5"
"22182","5"
"90071","5"
"01701","5"
"32202","5"
"55416","5"
"75219-4518","5"
"78738","5"
"19406","5"
"90024","5"
"77046","5"
"92101","5"
"37067","5"
"60062","5"
"78746","5"
"34103","5"
"19809-3700","5"
"01730","5"
"94158","5"
"94588","5"
"27709","5"
"95008","5"
"11201","5"
"06840","5"
"07921","5"
"89102","5"
"83702","5"
"84111","5"
"94301","5"
"60143","5"
"33477","5"
"02494","5"
"94306","5"
"78735","5"
"94070","5"
"07932","5"
"75001","4"
"43215","4"
"07960","4"
"85226","4"
"19901","4"
"46268","4"
"15222","4"
"15219","4"
"20852","4"
"11788","4"
"82801","4"
"32804","4"
"28211","4"
"60045","4"
"10577","4"
"77019","4"
"11101","4"
"60173","4"
"22209","4"
"92108","4"
"85004","4"
"23452","4"
"02903","4"
"89119","4"
"75074","4"
"92131","4"
"19341","4"
"07030","4"
"80228","4"
"33716","4"
"85288","4"
"10119","4"
"06870","4"
"89108","4"
"46204","4"
"95035","4"
"77478","4"
"35242","4"
"44122","4"
"10022-6225","4"
"32963","4"
"33301-1923","4"
"59715","4"
"89120","4"
"90503","4"
"18940","4"
"33410","4"
"11530","4"
"27703","4"
"33132","4"
"10282","4"
"20004","4"
"33309","4"
"93117","4"
"90401","4"
"15203","4"
"33126","4"
"60523","4"
"15317","4"
"10166","4"
"02140","4"
"75248","4"
"20910","4"
"77027","4"
"94089","4"
"90266","4"
"85054","4"
"60602","4"
"92656","4"
"92707","4"
"90210","4"
"30097","4"
"92653","4"
"06831","4"
"10179","4"
"94041","4"
"89101","4"
"07901","4"
"10170","4"
"33432","4"
"10167","4"
"77098","4"
"01801","4"
"92075","4"
"32835","4"
"94545","4"
"33480","4"
"92821","4"
"90069","4"
"10110","4"
"94108","4"
"07302","4"
"84101","4"
"72201","3"
"92617","3"
"30319","3"
"76107","3"
"22202","3"
"10111","3"
"78758","3"
"75034","3"
"37214","3"
"64106","3"
"80401","3"
"43017","3"
"28036","3"
"38103","3"
"07601","3"
"45246","3"
"14203","3"
"48226","3"
"91103","3"
"74120","3"
"84107","3"
"32114","3"
"48084","3"
"77007","3"
"53224","3"
"21046","3"
"98052","3"
"58503","3"
"60603","3"
"55401","3"
"75240-2620","3"
"98660","3"
"98004","3"
"44124","3"
"91770","3"
"02114","3"
"43219","3"
"14624","3"
"77057","3"
"01821","3"
"85254","3"
"23230","3"
"33408","3"
"07728","3"
"19422","3"
"91406","3"
"98121","3"
"07016","3"
