ownerOrg,period,count,component
Life Sciences,1,1,canada_domestic
Manufacturing,1,3,canada_domestic
Technology,1,2,canada_domestic
Life Sciences,1,1,china_domestic
Manufacturing,1,2,china_domestic
Real Estate & Construction,1,2,china_domestic
Technology,1,3,china_domestic
Manufacturing,1,1,mexico_domestic
Technology,1,2,mexico_domestic
Crypto Assets,1,1,canada_international
Energy & Transportation,1,5,canada_international
Finance,1,1,canada_international
Manufacturing,1,6,canada_international
Real Estate & Construction,1,1,canada_international
Crypto Assets,1,1,china_international
Energy & Transportation,1,2,china_international
Finance,1,2,china_international
Manufacturing,1,4,china_international
Energy & Transportation,1,5,mexico_international
Manufacturing,1,3,mexico_international
Energy & Transportation,1,1,venezuela_international
