accession_number,filename,file_date,file_type,cik
000035534801500170,tme_77c.txt,2001-08-02,EX-99.77C VOTES,0001070287
000102189001500296,ev6300110q.htm,2001-08-20,10-Q,0000844780
000072030901500031,results.txt,2001-08-28,EX-1,0000720309
000100472601500199,proxy.txt,2001-08-28,EX-99.77C VOTES,0000711202
000095014401505852,g70989ex4-1.txt,2001-08-14,EX-4.1,0001051904
000095013001503568,d424b3.txt,2001-08-07,424B3,0000899866
000101054901500366,wastecon10ksb93099.txt,2001-08-17,10KSB,0000806171
000101054901500367,wastecon10ksb93000.txt,2001-08-17,10KSB,0000806171
000101054901500365,wastecon10ksb93098.txt,2001-08-17,10KSB,0000806171
000091205701530729,a2058238zex-99_3.htm,2001-08-29,EX-99.3,0001059130
000101054901500364,wasteconv10k93097.txt,2001-08-17,10KSB,0000806171
000091205701530729,a2058238zex-99_1.htm,2001-08-29,EX-99.1,0001059130
000072030901500030,n30d2.txt,2001-08-27,N-30D,0000720309
000089873301500264,mfsect531.txt,2001-08-02,N-30D,0000352665
000095015201504252,l88944an-30d.txt,2001-08-31,N-30D,0000763852
000091957401500785,air_485b00250072ba3.txt,2001-08-31,485BPOS,0000862021
000091664101501162,dex1025.txt,2001-09-19,EX-10.25,0000102037
000091664101501162,dex1029.txt,2001-09-19,EX-10.29,0000102037
000091664101501162,dex1030.txt,2001-09-19,EX-10.30,0000102037
000035534801500261,p2020_77c.txt,2001-09-28,EX-99.77C VOTES,0001052118
000102189001500349,ev2001prxy.htm,2001-09-26,PRE 14A,0000844780
000021599401500008,b4i9.txt,2001-09-26,EX-4,0000215994
000089873301500393,mf15030.txt,2001-09-28,N-30D,0001052118
000094937701500279,cf52257-n30d.txt,2001-09-06,N-30D,0000711202
000091957401500855,air49700250072be5.txt,2001-09-26,497,0000862021
000089155401505665,seight.txt,2001-10-04,S-8,0001100748
000102189001500384,evdef2001prxy.htm,2001-10-17,DEF 14A,0000844780
000077048201500016,defs14_101801.txt,2001-10-19,DEFS14A,0000770482
000086136101500027,exhibitiii.txt,2001-10-09,EX-3,0000861361
000101968701500906,fastnet8k_ex3-1.txt,2001-10-05,EX-3.1,0001092536
000089322001500811,w51743aaex10-18.txt,2001-10-31,EX-10.18,0000822275
000089322001500811,w51743aaex10-18.txt,2001-10-31,EX-10.18,0001157007
000089322001500811,w51743aaex10-18.txt,2001-10-31,EX-10.18,0000046989
000089322001500811,w51743aaex10-18.txt,2001-10-31,EX-10.18,0001157022
000089322001500811,w51743aaex10-18.txt,2001-10-31,EX-10.18,0001157059
000089322001500811,w51743aaex10-18.txt,2001-10-31,EX-10.18,0001157058
000089322001500811,w51743aaex10-18.txt,2001-10-31,EX-10.18,0001157057
000089322001500811,w51743aaex10-18.txt,2001-10-31,EX-10.18,0001157056
000089322001500811,w51743aaex10-18.txt,2001-10-31,EX-10.18,0001157054
000089322001500811,w51743aaex10-18.txt,2001-10-31,EX-10.18,0001157053
000089322001500811,w51743aaex10-18.txt,2001-10-31,EX-10.18,0001157049
000089322001500811,w51743aaex10-18.txt,2001-10-31,EX-10.18,0001157047
000089322001500811,w51743aaex10-18.txt,2001-10-31,EX-10.18,0001157045
000089322001500811,w51743aaex10-18.txt,2001-10-31,EX-10.18,0001157043
000089322001500811,w51743aaex10-18.txt,2001-10-31,EX-10.18,0001157042
000089322001500811,w51743aaex10-18.txt,2001-10-31,EX-10.18,0001157040
000089322001500811,w51743aaex10-18.txt,2001-10-31,EX-10.18,0001157039
000089322001500811,w51743aaex10-18.txt,2001-10-31,EX-10.18,0001157037
000089322001500811,w51743aaex10-18.txt,2001-10-31,EX-10.18,0001157035
000089322001500811,w51743aaex10-18.txt,2001-10-31,EX-10.18,0001157032
000089322001500811,w51743aaex10-18.txt,2001-10-31,EX-10.18,0001157031
000089322001500811,w51743aaex10-18.txt,2001-10-31,EX-10.18,0001157029
000089322001500811,w51743aaex10-18.txt,2001-10-31,EX-10.18,0001157021
000089322001500811,w51743aaex10-18.txt,2001-10-31,EX-10.18,0001157025
000089322001500811,w51743aaex10-18.txt,2001-10-31,EX-10.18,0001157019
000089322001500811,w51743aaex10-18.txt,2001-10-31,EX-10.18,0001157017
000089322001500811,w51743aaex10-18.txt,2001-10-31,EX-10.18,0001157016
000089322001500811,w51743aaex10-18.txt,2001-10-31,EX-10.18,0001157015
000089322001500811,w51743aaex10-18.txt,2001-10-31,EX-10.18,0000011884
000089322001500811,w51743aaex10-18.txt,2001-10-31,EX-10.18,0001157008
000091205701534729,a2060587zex-4_1.htm,2001-10-09,EX-4.1,0000849213
000091205701536908,a2062043zex-99_2.txt,2001-10-29,EX-99.2,0001059130
000100329701500239,exq.htm,2001-10-31,EX-99.P CODE ETH,0000773754
000035534801500302,attachment77c.txt,2001-11-29,EX-99.77C VOTES,0000887991
000035534801500297,attachment77c.txt,2001-11-28,EX-99.77C VOTES,0000887991
000035534801500289,smc_77c.txt,2001-11-23,EX-99.77C VOTES,0000318531
000105595401500020,a13fh0901.txt,2001-11-15,13F-HR,0001055954
000081445601500010,p3q01b.txt,2001-11-14,10-Q,0000814456
000095013601501905,file004.txt,2001-11-21,EX-99.3,0000808851
000095014401509270,g72541ex10-1.txt,2001-11-14,EX-10.1,0000890285
000089873301500521,mf15155.txt,2001-11-23,N-30D,0000318531
000089710101500792,fasf014722_n30d.txt,2001-11-29,N-30D,0001017927
000095013601501907,file001.txt,2001-11-21,424B5,0001162633
000095013601501907,file001.txt,2001-11-21,424B5,0000808851
000089710101500791,faf014720_n30d.txt,2001-11-29,N-30D,0000356134
000089710101500797,faif014723_n30d.txt,2001-11-30,N-30D,0000820892
000089262601500178,exh_101.txt,2001-11-14,EX-10.1,0001037976
000089710101500793,faif014724_n30d.txt,2001-11-29,N-30D,0000820892
000109724601500227,fgwc10qsb0901.txt,2001-12-07,10QSB,0001100748
000110074801500018,sincentive.txt,2001-12-10,S-8,0001100748
000110074801500017,stan.txt,2001-12-10,S-8,0001100748
000110074801500016,scameron.txt,2001-12-10,S-8,0001100748
000035534801500326,tme_77c.txt,2001-12-27,EX-99.77C VOTES,0001070287
000035534801500322,attach77c.txt,2001-12-27,EX-99.77C VOTES,0001032903
000035534801500320,attach77c.txt,2001-12-27,EX-99.77C VOTES,0001022624
000095012301509597,y55701ex3-11.txt,2001-12-27,EX-3.11,0001164056
000095012301509597,y55701ex3-11.txt,2001-12-27,EX-3.11,0001164057
000095012301509597,y55701ex3-11.txt,2001-12-27,EX-3.11,0001164059
000095012301509597,y55701ex3-11.txt,2001-12-27,EX-3.11,0001145238
000095012301509597,y55701ex3-11.txt,2001-12-27,EX-3.11,0001012697
000095012301509597,y55701ex3-11.txt,2001-12-27,EX-3.11,0001164086
000095012301509597,y55701ex3-11.txt,2001-12-27,EX-3.11,0001164051
000095012301509597,y55701ex3-11.txt,2001-12-27,EX-3.11,0001164048
000095012301509597,y55701ex3-11.txt,2001-12-27,EX-3.11,0000885280
000095012301509597,y55701ex3-11.txt,2001-12-27,EX-3.11,0001164050
000095012301509597,y55701ex3-11.txt,2001-12-27,EX-3.11,0001164052
000095012301509597,y55701ex3-11.txt,2001-12-27,EX-3.11,0001164053
000095012301509597,y55701ex3-11.txt,2001-12-27,EX-3.11,0001164049
000091205701542652,a2065598z10-k.htm,2001-12-10,10-K,0000859735
000116240401500014,wastecon10k93001.txt,2001-12-10,10KSB,0000806171
000089873301500635,mf15197.txt,2001-12-26,N-30D,0001022624
000091205701544496,a2066044z10-k.htm,2001-12-24,10-K,0001013351
000091205701544496,a2066044zex-13_1.txt,2001-12-24,EX-13.1,0001013351
000095013601502060,file001.txt,2001-12-12,424B5,0000808851
000095013101504687,ddefs14a.txt,2001-12-28,DEFS14A,0000787623
000089873301500737,wf1228.txt,2001-12-28,N-30D,0000741350
000089710101500808,faif015056_n30d.txt,2001-12-06,N-30D,0000820892
000089710101500806,faif015001_n30d.txt,2001-12-05,N-30D,0000820892
000110074802000005,sb2g.htm,2002-01-10,SB-2,0001100748
000110074802000005,consent.htm,2002-01-10,EX-5,0001100748
000110074802000005,escrow.htm,2002-01-10,EX-10,0001100748
000104412302000002,confppmemo.txt,2002-01-17,EX-99,0001044123
000110074802000005,randy.htm,2002-01-10,EX-23,0001100748
