accession_number,filename,file_date,file_type,cik
000101322801500297,r033-60246_01.txt,2001-07-31,485BPOS,0000899651
000101322801500296,r033-59090_01.txt,2001-07-31,485BPOS,0000898323
000095013601501270,file001.txt,2001-08-29,10QSB/A,0001039646
000095013601501213,file001.txt,2001-08-20,10-Q,0001039646
000092701601502495,dex1015.txt,2001-08-14,EX-10.15,0000066479
000092701601502495,dex1016.txt,2001-08-14,EX-10.16,0000066479
000095013601501225,file001.txt,2001-08-22,10QSB/A,0001039646
000092701601502495,dex1014.txt,2001-08-14,EX-10.14,0000066479
000110465901501808,j1484_10qsb.htm,2001-08-14,10QSB,0000004317
000092701601502495,dex1012.txt,2001-08-14,EX-10.12,0000066479
000091066201500060,prospectus.txt,2001-08-27,424B3,0001115836
000101968701500605,igo_10q-063001.txt,2001-08-13,10-Q,0001073773
000091066201500058,s3a1.txt,2001-08-17,S-3/A,0001115836
000091066201500054,s3.txt,2001-08-10,S-3,0001115836
000095011701500954,a31162.txt,2001-08-14,10-Q,0001062292
000091205701526537,a2055655z424b2.txt,2001-08-03,424B2,0000318996
000101322801500313,r033-53531_01.txt,2001-08-31,485BPOS,0000910854
000091205701526135,a2054197zs-11a.txt,2001-08-01,S-11/A,0001133505
000101322801500315,r333-03467_01.txt,2001-08-31,485BPOS,0000910916
000091664101501138,d10q.txt,2001-09-14,10-Q,0000037748
000109581101504955,f75735e10-q.htm,2001-09-18,10-Q,0000786110
000109581101505101,f75736a2e10-ka.htm,2001-09-24,10-K/A,0000786110
000095013601501368,file001.txt,2001-09-14,SB-2/A,0001039646
000106083001500104,starfests4amd5.txt,2001-09-11,S-4/A,0001005101
000106083001500103,starfests4amd5.txt,2001-09-10,S-4/A,0001005101
000101322801500339,r033-53925_01.txt,2001-09-28,485BPOS,0000910855
000101322801500338,r033-48343_01.txt,2001-09-28,485BPOS,0000888252
000101322801500340,r033-60297_01.txt,2001-09-28,485BPOS,0000910901
000091205701531712,a2054197zs-11a.txt,2001-09-10,S-11/A,0001133505
000091205701533623,a2054197zs-11a.txt,2001-09-27,S-11/A,0001133505
000089180401501730,file002.txt,2001-09-24,485BPOS,0000880962
000089180401501707,file002.txt,2001-09-24,485BPOS,0000792356
000089180401501706,file002.txt,2001-09-24,485BPOS,0000792355
000089180401501740,file002.txt,2001-09-24,485BPOS,0000896401
000089180401501727,file002.txt,2001-09-24,485BPOS,0000882428
000089180401501725,file002.txt,2001-09-24,485BPOS,0001024877
000089180401501729,file002.txt,2001-09-24,485BPOS,0000880963
000089180401501728,file002.txt,2001-09-24,485BPOS,0000878491
000089180401501723,file002.txt,2001-09-24,485BPOS,0001024836
000089180401501711,file002.txt,2001-09-24,485BPOS,0000906364
000089180401501739,file002.txt,2001-09-24,485BPOS,0000896365
000089180401501724,file002.txt,2001-09-24,485BPOS,0001024837
000089180401501722,file002.txt,2001-09-24,485BPOS,0001024817
000089180401501708,file002.txt,2001-09-24,485BPOS,0000879121
000089180401501726,file002.txt,2001-09-24,485BPOS,0000879732
000089180401501731,file002.txt,2001-09-24,485BPOS,0000890654
000089180401501738,file002.txt,2001-09-24,485BPOS,0000896314
000089180401501717,file002.txt,2001-09-24,485BPOS,0000896707
000089180401501736,file002.txt,2001-09-24,485BPOS,0000896285
000089180401501720,file002.txt,2001-09-24,485BPOS,0000896913
000089180401501734,file002.txt,2001-09-24,485BPOS,0000891811
000089180401501710,file002.txt,2001-09-24,485BPOS,0000906363
000089180401501712,file002.txt,2001-09-24,485BPOS,0000897414
000089180401501715,file002.txt,2001-09-24,485BPOS,0000896705
000089180401501713,file002.txt,2001-09-24,485BPOS,0000897415
000089180401501735,file002.txt,2001-09-24,485BPOS,0000896284
000089180401501721,file002.txt,2001-09-24,485BPOS,0000896952
000089180401501733,file002.txt,2001-09-24,485BPOS,0000891810
000089180401501737,file002.txt,2001-09-24,485BPOS,0000896286
000089180401501719,file002.txt,2001-09-24,485BPOS,0000896912
000089180401501718,file002.txt,2001-09-24,485BPOS,0000896911
000089180401501732,file002.txt,2001-09-24,485BPOS,0000890653
