filing_date,component,url,ownerOrg,name
2025-03-19,outsourcing-international,https://www.sec.gov/Archives/edgar/data/1003935/000100393525000004/nice-20241231.htm#:~:text=we%20rely%20on%20third%20party&text=we%20engage%20third%20party,Technology,NICE Ltd.
2025-03-21,outsourcing-international,https://www.sec.gov/Archives/edgar/data/1894693/000101376225001028/ea0234058-20f_saver.htm#:~:text=we%20rely%20on%20third%20party&text=we%20engage%20third%20party,Technology,SaverOne 2014 Ltd.
2025-02-21,outsourcing-international,https://www.sec.gov/Archives/edgar/data/1060955/000106095525000016/iclr-20241231.htm#:~:text=we%20rely%20on%20third%20party&text=we%20engage%20third%20party,Industrial Applications and Services,ICON PLC
2025-03-14,outsourcing-international,https://www.sec.gov/Archives/edgar/data/911971/000091197125000007/tk-20241231.htm#:~:text=we%20rely%20on%20third%20party&text=we%20engage%20third%20party,Energy & Transportation,TEEKAY CORP LTD
2025-03-26,outsourcing-international,https://www.sec.gov/Archives/edgar/data/1086434/000141057825000464/audc-20241231x20f.htm#:~:text=we%20rely%20on%20third%20party&text=we%20engage%20third%20party,Manufacturing,AUDIOCODES LTD
2025-03-04,outsourcing-international,https://www.sec.gov/Archives/edgar/data/1858985/000185898525000003/onholdingag-20241231.htm#:~:text=we%20rely%20on%20third%20party&text=we%20engage%20third%20party,Manufacturing,On Holding AG
2025-03-14,outsourcing-international,https://www.sec.gov/Archives/edgar/data/1419945/000141994525000004/tnk-20241231.htm#:~:text=we%20rely%20on%20third%20party&text=we%20engage%20third%20party,Energy & Transportation,TEEKAY TANKERS LTD.
2025-03-11,outsourcing-international,https://www.sec.gov/Archives/edgar/data/1857475/000185747525000008/dole-20241231.htm#:~:text=we%20rely%20on%20third%20party&text=we%20engage%20third%20party,Industrial Applications and Services,Dole plc
2025-02-18,outsourcing-international,https://www.sec.gov/Archives/edgar/data/1979610/000173112225000239/e6355_20-f.htm#:~:text=we%20rely%20on%20third%20party&text=we%20engage%20third%20party,Real Estate & Construction,WF International Ltd.
2025-03-10,outsourcing-international,https://www.sec.gov/Archives/edgar/data/1738758/000121390025021907/ea0233233-20f_cheerhold.htm#:~:text=we%20rely%20on%20third%20party&text=we%20engage%20third%20party,Technology,"Cheer Holding, Inc."
2025-03-11,outsourcing-international,https://www.sec.gov/Archives/edgar/data/1893645/000121390025022732/ea0232371-20f_polyrizon.htm#:~:text=we%20rely%20on%20third%20party&text=we%20engage%20third%20party,Industrial Applications and Services,Polyrizon Ltd.
2025-02-14,outsourcing-international,https://www.sec.gov/Archives/edgar/data/1914818/000149315225006520/form20-f.htm#:~:text=we%20rely%20on%20third%20party&text=we%20engage%20third%20party,Trade & Services,Starbox Group Holdings Ltd.
2025-03-04,outsourcing-international,https://www.sec.gov/Archives/edgar/data/1899005/000121390025019728/ea0231895-20f_beamr.htm#:~:text=we%20rely%20on%20third%20party&text=we%20engage%20third%20party,Technology,Beamr Imaging Ltd.
2025-03-11,outsourcing-international,https://www.sec.gov/Archives/edgar/data/1867102/000110465925022354/evtl-20241231x20f.htm#:~:text=we%20rely%20on%20third%20party&text=we%20engage%20third%20party,Manufacturing,Vertical Aerospace Ltd.
2025-03-10,outsourcing-international,https://www.sec.gov/Archives/edgar/data/1985487/000095017025035904/kspi-20241231.htm#:~:text=we%20rely%20on%20third%20party&text=we%20engage%20third%20party,Trade & Services,Joint Stock Co Kaspi.kz
2025-03-06,outsourcing-international,https://www.sec.gov/Archives/edgar/data/1745114/000174511425000009/moln-20241231.htm#:~:text=we%20rely%20on%20third%20party&text=we%20engage%20third%20party,Life Sciences,MOLECULAR PARTNERS AG
2025-02-25,outsourcing-international,https://www.sec.gov/Archives/edgar/data/1793663/000095017025026601/ck0001793663-20241231.htm#:~:text=we%20rely%20on%20third%20party&text=we%20engage%20third%20party,Technology,VTEX
2025-02-26,outsourcing-international,https://www.sec.gov/Archives/edgar/data/1512717/000119312525035910/d857007d20f.htm#:~:text=we%20rely%20on%20third%20party&text=we%20engage%20third%20party,Life Sciences,Theratechnologies Inc.
2025-01-27,outsourcing-international,https://www.sec.gov/Archives/edgar/data/1969401/000121390025006673/ea0228496-20f_linkage.htm#:~:text=we%20rely%20on%20third%20party&text=we%20engage%20third%20party,Trade & Services,Linkage Global Inc
2025-03-20,outsourcing-international,https://www.sec.gov/Archives/edgar/data/1708688/000121390025025292/ea0234504-20f_inflarxnv.htm#:~:text=we%20rely%20on%20third%20party&text=we%20engage%20third%20party,Life Sciences,InflaRx N.V.
2025-03-20,outsourcing-international,https://www.sec.gov/Archives/edgar/data/1954042/000141057825000390/zk-20241231x20f.htm#:~:text=we%20rely%20on%20third%20party&text=we%20engage%20third%20party,Manufacturing,ZEEKR Intelligent Technology Holding Ltd
