filing_date,component,url,ownerOrg,name,cik
2025-02-28,domestic,https://www.sec.gov/Archives/edgar/data/1065837/000095017025030016/skx-20241231.htm#:~:text=consumer%20confidence,Manufacturing,SKECHERS USA INC,1065837
2025-02-12,domestic,https://www.sec.gov/Archives/edgar/data/906163/000090616325000011/nvr-20241231.htm#:~:text=consumer%20confidence,Real Estate & Construction,NVR INC,906163
2025-02-25,domestic,https://www.sec.gov/Archives/edgar/data/1746618/000095017025026748/rvlv-20241231.htm#:~:text=consumer%20confidence,Trade & Services,"Revolve Group, Inc.",1746618
2024-06-28,domestic,https://www.sec.gov/Archives/edgar/data/1943705/000194370524000005/gear-20240331.htm#:~:text=consumer%20confidence,Manufacturing,"Revelyst, Inc.",1943705
2024-11-14,domestic,https://www.sec.gov/Archives/edgar/data/1057060/000095017024127036/hzo-20240930.htm#:~:text=consumer%20confidence,Trade & Services,MARINEMAX INC,1057060
2025-02-26,domestic,https://www.sec.gov/Archives/edgar/data/1875444/000187544425000021/arhs-20241231.htm#:~:text=consumer%20confidence,Trade & Services,"Arhaus, Inc.",1875444
2025-02-20,domestic,https://www.sec.gov/Archives/edgar/data/1575515/000157551525000011/sfm-20241229.htm#:~:text=consumer%20confidence,Trade & Services,"Sprouts Farmers Market, Inc.",1575515
2025-03-03,domestic,https://www.sec.gov/Archives/edgar/data/913241/000162828025009503/shoo-20241231.htm#:~:text=consumer%20confidence,Manufacturing,"STEVEN MADDEN, LTD.",913241
2025-03-05,domestic,https://www.sec.gov/Archives/edgar/data/1655210/000165521025000034/bynd-20241231.htm#:~:text=consumer%20confidence,Manufacturing,"BEYOND MEAT, INC.",1655210
2025-03-03,domestic,https://www.sec.gov/Archives/edgar/data/708821/000070882125000015/par-20241231.htm#:~:text=consumer%20confidence,Technology,PAR TECHNOLOGY CORP,708821
2025-03-21,domestic,https://www.sec.gov/Archives/edgar/data/1856437/000185643725000006/vsco-20250201.htm#:~:text=consumer%20confidence,Trade & Services,Victoria's Secret & Co.,1856437
2025-02-21,domestic,https://www.sec.gov/Archives/edgar/data/1019849/000101984925000022/pag-20241231.htm#:~:text=consumer%20confidence,Trade & Services,"PENSKE AUTOMOTIVE GROUP, INC.",1019849
2025-03-10,domestic,https://www.sec.gov/Archives/edgar/data/33488/000143774925006863/esca20241231_10k.htm#:~:text=consumer%20confidence,Manufacturing,ESCALADE INC,33488
2024-08-28,domestic,https://www.sec.gov/Archives/edgar/data/96021/000009602124000128/syy-20240629.htm#:~:text=consumer%20confidence,Trade & Services,SYSCO CORP,96021
2025-02-21,domestic,https://www.sec.gov/Archives/edgar/data/916076/000095017025024770/mlm-20241231.htm#:~:text=consumer%20confidence,Energy & Transportation,MARTIN MARIETTA MATERIALS INC,916076
2025-02-20,domestic,https://www.sec.gov/Archives/edgar/data/1365135/000095017025024137/wu-20241231.htm#:~:text=consumer%20confidence,Trade & Services,Western Union CO,1365135
2025-03-06,domestic,https://www.sec.gov/Archives/edgar/data/216085/000162828025010869/hvt-20241231.htm#:~:text=consumer%20confidence,Trade & Services,HAVERTY FURNITURE COMPANIES INC,216085
2024-08-14,domestic,https://www.sec.gov/Archives/edgar/data/1618673/000095017024097033/pfgc-20240629.htm#:~:text=consumer%20confidence,Trade & Services,Performance Food Group Co,1618673
2024-12-20,domestic,https://www.sec.gov/Archives/edgar/data/1938109/000149315224051101/form10-k.htm#:~:text=consumer%20confidence,Finance,Pineapple Financial Inc.,1938109
2024-07-11,domestic,https://www.sec.gov/Archives/edgar/data/23217/000155837024009764/tmb-20240526x10k.htm#:~:text=consumer%20confidence,Manufacturing,CONAGRA BRANDS INC.,23217
2025-02-13,domestic,https://www.sec.gov/Archives/edgar/data/21665/000002166525000008/cl-20241231.htm#:~:text=consumer%20confidence,Industrial Applications and Services,COLGATE PALMOLIVE CO,21665
2025-02-26,domestic,https://www.sec.gov/Archives/edgar/data/1285550/000095017025027934/clpt-20241231.htm#:~:text=consumer%20confidence,Industrial Applications and Services,"ClearPoint Neuro, Inc.",1285550
2025-03-21,domestic,https://www.sec.gov/Archives/edgar/data/895447/000095017025043195/scvl-20250201.htm#:~:text=consumer%20confidence,Trade & Services,SHOE CARNIVAL INC,895447
2025-02-06,domestic,https://www.sec.gov/Archives/edgar/data/822416/000082241625000007/phm-20241231.htm#:~:text=consumer%20confidence,Real Estate & Construction,PULTEGROUP INC/MI/,822416
2025-03-26,domestic,https://www.sec.gov/Archives/edgar/data/930245/000147237525000028/ixform10k.htm#:~:text=consumer%20confidence,Trade & Services,Agassi Sports Entertainment Corp.,930245
2025-02-18,domestic,https://www.sec.gov/Archives/edgar/data/1953366/000155837025001097/stho-20241231x10k.htm#:~:text=consumer%20confidence,Real Estate & Construction,Star Holdings,1953366
2025-01-24,domestic,https://www.sec.gov/Archives/edgar/data/1830696/000149315225003478/form10-k.htm#:~:text=consumer%20confidence,Trade & Services,GLOBAL LEADERS CORP,1830696
2025-02-07,domestic,https://www.sec.gov/Archives/edgar/data/1354866/000143774925003081/byrn20241130_10k.htm#:~:text=consumer%20confidence,Manufacturing,Byrna Technologies Inc.,1354866
2025-03-17,domestic,https://www.sec.gov/Archives/edgar/data/720858/000072085825000007/itic-20241231.htm#:~:text=consumer%20confidence,Finance,INVESTORS TITLE CO,720858
2025-02-05,domestic,https://www.sec.gov/Archives/edgar/data/847942/000149315225005023/form10-k.htm#:~:text=consumer%20confidence,Finance,STRATEGIC ACQUISITIONS INC /NV/,847942
2025-03-20,domestic,https://www.sec.gov/Archives/edgar/data/813298/000095017025042703/dxlg-20250201.htm#:~:text=consumer%20confidence,Trade & Services,"DESTINATION XL GROUP, INC.",813298
2025-02-26,domestic,https://www.sec.gov/Archives/edgar/data/1546417/000154641725000034/blmn-20241229.htm#:~:text=consumer%20confidence,Trade & Services,"Bloomin' Brands, Inc.",1546417
2025-02-25,domestic,https://www.sec.gov/Archives/edgar/data/1418135/000141813525000013/kdp-20241231.htm#:~:text=consumer%20confidence,Manufacturing,Keurig Dr Pepper Inc.,1418135
2025-02-13,domestic,https://www.sec.gov/Archives/edgar/data/1665918/000166591825000017/usfd-20241228.htm#:~:text=consumer%20confidence,Trade & Services,US Foods Holding Corp.,1665918
2025-03-11,domestic,https://www.sec.gov/Archives/edgar/data/822663/000175392625000424/ipar-20241231.htm#:~:text=consumer%20confidence,Industrial Applications and Services,INTERPARFUMS INC,822663
